wavelength,alpha_0,alpha_0_uncertainty
1965.2,-176.14,3.66
1965.7,-176.57,3.66
1966.2,-177.01,3.66
1966.7,-177.44,3.66
1967.2,-177.88,3.66
1967.7,-178.31,3.66
1968.2,-178.75,3.66
1968.7,-179.19,3.66
1969.2,-179.62,3.66
1969.7,-180.06,3.66
1970.2,-180.5,3.67
1970.7,-180.94,3.67
1971.2,-181.38,3.67
1971.7,-181.82,3.67
1972.2,-182.27,3.67
1972.7,-182.71,3.67
1973.2,-183.15,3.67
1973.7,-183.6,3.67
1974.2,-184.04,3.67
1974.7,-184.49,3.67
1975.2,-184.93,3.67
1975.7,-185.38,3.67
1976.2,-185.83,3.68
1976.7,-186.28,3.68
1977.2,-186.72,3.68
1977.7,-187.17,3.68
1978.2,-187.62,3.68
1978.7,-188.08,3.68
1979.2,-188.53,3.68
1979.7,-188.98,3.68
1980.2,-189.43,3.68
1980.7,-189.89,3.68
1981.2,-190.34,3.68
1981.7,-190.8,3.68
1982.2,-191.26,3.69
1982.7,-191.71,3.69
1983.2,-192.17,3.69
1983.7,-192.63,3.69
1984.2,-193.09,3.69
1984.7,-193.55,3.69
1985.2,-194.01,3.69
1985.7,-194.47,3.69
1986.2,-194.93,3.69
1986.7,-195.4,3.69
1987.2,-195.86,3.69
1987.7,-196.32,3.7
1988.2,-196.79,3.7
1988.7,-197.26,3.7
1989.2,-197.72,3.7
1989.7,-198.19,3.7
1990.2,-198.66,3.7
1990.7,-199.13,3.7
1991.2,-199.6,3.7
1991.7,-200.07,3.7
1992.2,-200.54,3.7
1992.7,-201.01,3.7
1993.2,-201.48,3.71
1993.7,-201.96,3.71
1994.2,-202.43,3.71
1994.7,-202.91,3.71
1995.2,-203.38,3.71
1995.7,-203.86,3.71
1996.2,-204.34,3.71
1996.7,-204.82,3.71
1997.2,-205.3,3.71
1997.7,-205.78,3.71
1998.2,-206.26,3.72
1998.7,-206.74,3.72
1999.2,-207.22,3.72
