Sr2,5p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
305.66000,-162.03,3.01,0.00,0.00
305.68000,-162.17,3.01,0.00,0.00
305.70000,-162.32,3.02,0.00,0.00
305.72000,-162.46,3.02,0.00,0.00
305.74000,-162.60,3.02,0.00,0.00
305.76000,-162.74,3.02,0.00,0.00
305.78000,-162.88,3.03,0.00,0.00
305.80000,-163.03,3.03,0.00,0.00
305.82000,-163.17,3.03,0.00,0.00
305.84000,-163.31,3.03,0.00,0.00
305.86000,-163.45,3.03,0.00,0.00
305.88000,-163.60,3.04,0.00,0.00
305.90000,-163.74,3.04,0.00,0.00
305.92000,-163.88,3.04,0.00,0.00
305.94000,-164.03,3.04,0.00,0.00
305.96000,-164.17,3.04,0.00,0.00
305.98000,-164.32,3.05,0.00,0.00
306.00000,-164.46,3.05,0.00,0.00
306.02000,-164.61,3.05,0.00,0.00
306.04000,-164.75,3.05,0.00,0.00
306.06000,-164.90,3.05,0.00,0.00
306.08000,-165.04,3.06,0.00,0.00
306.10000,-165.19,3.06,0.00,0.00
306.12000,-165.33,3.06,0.00,0.00
306.14000,-165.48,3.06,0.00,0.00
306.16000,-165.62,3.07,0.00,0.00
306.18000,-165.77,3.07,0.00,0.00
306.20000,-165.91,3.07,0.00,0.00
306.22000,-166.06,3.07,0.00,0.00
306.24000,-166.21,3.07,0.00,0.00
306.26000,-166.35,3.08,0.00,0.00
306.28000,-166.50,3.08,0.00,0.00
306.30000,-166.65,3.08,0.00,0.00
306.32000,-166.80,3.08,0.00,0.00
306.34000,-166.94,3.08,0.00,0.00
306.36000,-167.09,3.09,0.00,0.00
306.38000,-167.24,3.09,0.00,0.00
306.40000,-167.39,3.09,0.00,0.00
306.42000,-167.53,3.09,0.00,0.00
306.44000,-167.68,3.10,0.00,0.00
306.46000,-167.83,3.10,0.00,0.00
306.48000,-167.98,3.10,0.00,0.00
306.50000,-168.13,3.10,0.00,0.00
306.52000,-168.28,3.10,0.00,0.00
306.54000,-168.43,3.11,0.00,0.00
306.56000,-168.58,3.11,0.00,0.00
306.58000,-168.73,3.11,0.00,0.00
306.60000,-168.88,3.11,0.00,0.00
306.62000,-169.03,3.11,0.00,0.00
306.64000,-169.18,3.12,0.00,0.00
306.66000,-169.33,3.12,0.00,0.00
306.68000,-169.48,3.12,0.00,0.00
306.70000,-169.63,3.12,0.00,0.00
306.72000,-169.78,3.13,0.00,0.00
306.74000,-169.93,3.13,0.00,0.00
306.76000,-170.08,3.13,0.00,0.00
306.78000,-170.23,3.13,0.00,0.00
306.80000,-170.39,3.13,0.00,0.00
306.82000,-170.54,3.14,0.00,0.00
306.84000,-170.69,3.14,0.00,0.00
306.86000,-170.84,3.14,0.00,0.00
306.88000,-171.00,3.14,0.00,0.00
306.90000,-171.15,3.15,0.00,0.00
306.92000,-171.30,3.15,0.00,0.00
306.94000,-171.45,3.15,0.00,0.00
306.96000,-171.61,3.15,0.00,0.00
306.98000,-171.76,3.15,0.00,0.00
307.00000,-171.92,3.16,0.00,0.00
307.02000,-172.07,3.16,0.00,0.00
307.04000,-172.22,3.16,0.00,0.00
307.06000,-172.38,3.16,0.00,0.00
307.08000,-172.53,3.17,0.00,0.00
307.10000,-172.69,3.17,0.00,0.00
307.12000,-172.84,3.17,0.00,0.00
307.14000,-173.00,3.17,0.00,0.00
