Sr2,5s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
304.70000,-97.66,0.88,0.00,0.00
304.72000,-97.69,0.88,0.00,0.00
304.74000,-97.72,0.88,0.00,0.00
304.76000,-97.75,0.88,0.00,0.00
304.78000,-97.78,0.88,0.00,0.00
304.80000,-97.81,0.88,0.00,0.00
304.82000,-97.84,0.88,0.00,0.00
304.84000,-97.87,0.88,0.00,0.00
304.86000,-97.90,0.88,0.00,0.00
304.88000,-97.93,0.88,0.00,0.00
304.90000,-97.96,0.88,0.00,0.00
304.92000,-97.99,0.88,0.00,0.00
304.94000,-98.02,0.88,0.00,0.00
304.96000,-98.05,0.88,0.00,0.00
304.98000,-98.08,0.88,0.00,0.00
305.00000,-98.11,0.88,0.00,0.00
305.02000,-98.14,0.88,0.00,0.00
305.04000,-98.17,0.88,0.00,0.00
305.06000,-98.20,0.88,0.00,0.00
305.08000,-98.23,0.88,0.00,0.00
305.10000,-98.26,0.88,0.00,0.00
305.12000,-98.29,0.88,0.00,0.00
305.14000,-98.32,0.89,0.00,0.00
305.16000,-98.35,0.89,0.00,0.00
305.18000,-98.38,0.89,0.00,0.00
305.20000,-98.41,0.89,0.00,0.00
305.22000,-98.44,0.89,0.00,0.00
305.24000,-98.47,0.89,0.00,0.00
305.26000,-98.51,0.89,0.00,0.00
305.28000,-98.54,0.89,0.00,0.00
305.30000,-98.57,0.89,0.00,0.00
305.32000,-98.60,0.89,0.00,0.00
305.34000,-98.63,0.89,0.00,0.00
305.36000,-98.66,0.89,0.00,0.00
305.38000,-98.69,0.89,0.00,0.00
305.40000,-98.72,0.89,0.00,0.00
305.42000,-98.75,0.89,0.00,0.00
305.44000,-98.78,0.89,0.00,0.00
305.46000,-98.81,0.89,0.00,0.00
305.48000,-98.84,0.89,0.00,0.00
305.50000,-98.87,0.89,0.00,0.00
305.52000,-98.90,0.89,0.00,0.00
305.54000,-98.93,0.89,0.00,0.00
305.56000,-98.96,0.89,0.00,0.00
305.58000,-98.99,0.89,0.00,0.00
305.60000,-99.02,0.89,0.00,0.00
305.62000,-99.05,0.89,0.00,0.00
305.64000,-99.08,0.89,0.00,0.00
305.66000,-99.11,0.89,0.00,0.00
305.68000,-99.14,0.89,0.00,0.00
305.70000,-99.17,0.89,0.00,0.00
305.72000,-99.20,0.89,0.00,0.00
305.74000,-99.24,0.89,0.00,0.00
305.76000,-99.27,0.89,0.00,0.00
305.78000,-99.30,0.89,0.00,0.00
305.80000,-99.33,0.89,0.00,0.00
305.82000,-99.36,0.89,0.00,0.00
305.84000,-99.39,0.89,0.00,0.00
305.86000,-99.42,0.89,0.00,0.00
305.88000,-99.45,0.89,0.00,0.00
305.90000,-99.48,0.90,0.00,0.00
