wavelength,alpha_0,alpha_0_uncertainty,alpha(m=0),alpha(m=0)_uncertainty
1471.7,217.54,1.11,217.54,1.11
1472.2,217.52,1.11,217.52,1.11
1472.7,217.5,1.11,217.5,1.11
1473.2,217.49,1.11,217.49,1.11
1473.7,217.47,1.11,217.47,1.11
1474.2,217.46,1.11,217.46,1.11
1474.7,217.44,1.11,217.44,1.11
1475.2,217.43,1.11,217.43,1.11
1475.7,217.41,1.11,217.41,1.11
1476.2,217.4,1.11,217.4,1.11
1476.7,217.38,1.11,217.38,1.11
1477.2,217.37,1.11,217.37,1.11
1477.7,217.35,1.11,217.35,1.11
1478.2,217.34,1.11,217.34,1.11
1478.7,217.32,1.11,217.32,1.11
1479.2,217.31,1.11,217.31,1.11
1479.7,217.29,1.11,217.29,1.11
1480.2,217.28,1.11,217.28,1.11
1480.7,217.26,1.11,217.26,1.11
1481.2,217.25,1.11,217.25,1.11
1481.7,217.23,1.11,217.23,1.11
1482.2,217.22,1.11,217.22,1.11
1482.7,217.2,1.11,217.2,1.11
1483.2,217.19,1.11,217.19,1.11
1483.7,217.17,1.11,217.17,1.11
1484.2,217.16,1.11,217.16,1.11
1484.7,217.14,1.11,217.14,1.11
1485.2,217.13,1.11,217.13,1.11
1485.7,217.11,1.11,217.11,1.11
1486.2,217.1,1.11,217.1,1.11
1486.7,217.08,1.11,217.08,1.11
1487.2,217.07,1.11,217.07,1.11
1487.7,217.05,1.11,217.05,1.11
1488.2,217.04,1.11,217.04,1.11
1488.7,217.02,1.11,217.02,1.11
1489.2,217.01,1.11,217.01,1.11
1489.7,216.99,1.11,216.99,1.11
1490.2,216.98,1.11,216.98,1.11
1490.7,216.96,1.11,216.96,1.11
1491.2,216.95,1.11,216.95,1.11
1491.7,216.93,1.11,216.93,1.11
1492.2,216.92,1.11,216.92,1.11
1492.7,216.91,1.11,216.91,1.11
1493.2,216.89,1.11,216.89,1.11
1493.7,216.88,1.11,216.88,1.11
1494.2,216.86,1.11,216.86,1.11
1494.7,216.85,1.11,216.85,1.11
1495.2,216.83,1.11,216.83,1.11
1495.7,216.82,1.11,216.82,1.11
1496.2,216.8,1.11,216.8,1.11
1496.7,216.79,1.11,216.79,1.11
1497.2,216.77,1.11,216.77,1.11
1497.7,216.76,1.11,216.76,1.11
1498.2,216.75,1.11,216.75,1.11
1498.7,216.73,1.11,216.73,1.11
1499.2,216.72,1.11,216.72,1.11
1499.7,216.7,1.11,216.7,1.11
1500.2,216.69,1.11,216.69,1.11
1500.7,216.67,1.11,216.67,1.11
1501.2,216.66,1.11,216.66,1.11
1501.7,216.64,1.11,216.64,1.11
1502.2,216.63,1.11,216.63,1.11
1502.7,216.62,1.11,216.62,1.11
1503.2,216.6,1.11,216.6,1.11
1503.7,216.59,1.11,216.59,1.11
1504.2,216.57,1.11,216.57,1.11
1504.7,216.56,1.11,216.56,1.11
1505.2,216.54,1.11,216.54,1.11
1505.7,216.53,1.11,216.53,1.11
1506.2,216.52,1.11,216.52,1.11
1506.7,216.5,1.11,216.5,1.11
1507.2,216.49,1.11,216.49,1.11
1507.7,216.47,1.11,216.47,1.11
1508.2,216.46,1.11,216.46,1.11
1508.7,216.45,1.11,216.45,1.11
1509.2,216.43,1.11,216.43,1.11
1509.7,216.42,1.11,216.42,1.11
1510.2,216.4,1.11,216.4,1.11
1510.7,216.39,1.11,216.39,1.11
1511.2,216.37,1.11,216.37,1.11
1511.7,216.36,1.11,216.36,1.11
1512.2,216.35,1.11,216.35,1.11
1512.7,216.33,1.11,216.33,1.11
1513.2,216.32,1.11,216.32,1.11
1513.7,216.31,1.11,216.31,1.11
1514.2,216.29,1.11,216.29,1.11
1514.7,216.28,1.11,216.28,1.11
1515.2,216.26,1.11,216.26,1.11
1515.7,216.25,1.11,216.25,1.11
1516.2,216.24,1.11,216.24,1.11
1516.7,216.22,1.11,216.22,1.11
1517.2,216.21,1.11,216.21,1.11
1517.7,216.19,1.11,216.19,1.11
1518.2,216.18,1.11,216.18,1.11
1518.7,216.17,1.11,216.17,1.11
1519.2,216.15,1.11,216.15,1.11
1519.7,216.14,1.11,216.14,1.11
1520.2,216.12,1.11,216.12,1.11
1520.7,216.11,1.11,216.11,1.11
1521.2,216.1,1.11,216.1,1.11
1521.7,216.08,1.11,216.08,1.11
1522.2,216.07,1.11,216.07,1.11
1522.7,216.06,1.11,216.06,1.11
1523.2,216.04,1.1,216.04,1.1
1523.7,216.03,1.1,216.03,1.1
1524.2,216.02,1.1,216.02,1.1
1524.7,216,1.1,216,1.1
1525.2,215.99,1.1,215.99,1.1
1525.7,215.97,1.1,215.97,1.1
1526.2,215.96,1.1,215.96,1.1
1526.7,215.95,1.1,215.95,1.1
1527.2,215.93,1.1,215.93,1.1
1527.7,215.92,1.1,215.92,1.1
1528.2,215.91,1.1,215.91,1.1
1528.7,215.89,1.1,215.89,1.1
1529.2,215.88,1.1,215.88,1.1
1529.7,215.87,1.1,215.87,1.1
1530.2,215.85,1.1,215.85,1.1
1530.7,215.84,1.1,215.84,1.1
1531.2,215.83,1.1,215.83,1.1
1531.7,215.81,1.1,215.81,1.1
1532.2,215.8,1.1,215.8,1.1
1532.7,215.79,1.1,215.79,1.1
1533.2,215.77,1.1,215.77,1.1
1533.7,215.76,1.1,215.76,1.1
1534.2,215.75,1.1,215.75,1.1
1534.7,215.73,1.1,215.73,1.1
1535.2,215.72,1.1,215.72,1.1
1535.7,215.71,1.1,215.71,1.1
1536.2,215.69,1.1,215.69,1.1
1536.7,215.68,1.1,215.68,1.1
1537.2,215.67,1.1,215.67,1.1
1537.7,215.65,1.1,215.65,1.1
1538.2,215.64,1.1,215.64,1.1
1538.7,215.63,1.1,215.63,1.1
1539.2,215.61,1.1,215.61,1.1
1539.7,215.6,1.1,215.6,1.1
1540.2,215.59,1.1,215.59,1.1
1540.7,215.57,1.1,215.57,1.1
1541.2,215.56,1.1,215.56,1.1
1541.7,215.55,1.1,215.55,1.1
1542.2,215.53,1.1,215.53,1.1
1542.7,215.52,1.1,215.52,1.1
1543.2,215.51,1.1,215.51,1.1
1543.7,215.5,1.1,215.5,1.1
1544.2,215.48,1.1,215.48,1.1
1544.7,215.47,1.1,215.47,1.1
1545.2,215.46,1.1,215.46,1.1
1545.7,215.44,1.1,215.44,1.1
1546.2,215.43,1.1,215.43,1.1
1546.7,215.42,1.1,215.42,1.1
1547.2,215.4,1.1,215.4,1.1
1547.7,215.39,1.1,215.39,1.1
1548.2,215.38,1.1,215.38,1.1
1548.7,215.37,1.1,215.37,1.1
1549.2,215.35,1.1,215.35,1.1
1549.7,215.34,1.1,215.34,1.1
1550.2,215.33,1.1,215.33,1.1
1550.7,215.31,1.1,215.31,1.1
1551.2,215.3,1.1,215.3,1.1
1551.7,215.29,1.1,215.29,1.1
1552.2,215.28,1.1,215.28,1.1
1552.7,215.26,1.1,215.26,1.1
1553.2,215.25,1.1,215.25,1.1
1553.7,215.24,1.1,215.24,1.1
1554.2,215.22,1.1,215.22,1.1
1554.7,215.21,1.1,215.21,1.1
1555.2,215.2,1.1,215.2,1.1
1555.7,215.19,1.1,215.19,1.1
1556.2,215.17,1.1,215.17,1.1
1556.7,215.16,1.1,215.16,1.1
1557.2,215.15,1.1,215.15,1.1
1557.7,215.14,1.1,215.14,1.1
1558.2,215.12,1.1,215.12,1.1
1558.7,215.11,1.1,215.11,1.1
1559.2,215.1,1.1,215.1,1.1
1559.7,215.08,1.1,215.08,1.1
1560.2,215.07,1.1,215.07,1.1
1560.7,215.06,1.1,215.06,1.1
1561.2,215.05,1.1,215.05,1.1
1561.7,215.03,1.1,215.03,1.1
1562.2,215.02,1.1,215.02,1.1
1562.7,215.01,1.1,215.01,1.1
1563.2,215,1.1,215,1.1
1563.7,214.98,1.1,214.98,1.1
1564.2,214.97,1.1,214.97,1.1
1564.7,214.96,1.1,214.96,1.1
1565.2,214.95,1.1,214.95,1.1
1565.7,214.93,1.1,214.93,1.1
1566.2,214.92,1.1,214.92,1.1
1566.7,214.91,1.1,214.91,1.1
1567.2,214.9,1.1,214.9,1.1
1567.7,214.88,1.1,214.88,1.1
1568.2,214.87,1.1,214.87,1.1
1568.7,214.86,1.1,214.86,1.1
1569.2,214.85,1.1,214.85,1.1
1569.7,214.84,1.1,214.84,1.1
1570.2,214.82,1.1,214.82,1.1
1570.7,214.81,1.1,214.81,1.1
1571.2,214.8,1.1,214.8,1.1
1571.7,214.79,1.1,214.79,1.1
1572.2,214.77,1.1,214.77,1.1
1572.7,214.76,1.1,214.76,1.1
1573.2,214.75,1.1,214.75,1.1
1573.7,214.74,1.1,214.74,1.1
1574.2,214.72,1.1,214.72,1.1
1574.7,214.71,1.1,214.71,1.1
1575.2,214.7,1.1,214.7,1.1
1575.7,214.69,1.1,214.69,1.1
1576.2,214.68,1.1,214.68,1.1
1576.7,214.66,1.1,214.66,1.1
1577.2,214.65,1.1,214.65,1.1
1577.7,214.64,1.1,214.64,1.1
1578.2,214.63,1.1,214.63,1.1
1578.7,214.62,1.1,214.62,1.1
1579.2,214.6,1.1,214.6,1.1
1579.7,214.59,1.1,214.59,1.1
1580.2,214.58,1.1,214.58,1.1
1580.7,214.57,1.1,214.57,1.1
1581.2,214.56,1.1,214.56,1.1
1581.7,214.54,1.1,214.54,1.1
1582.2,214.53,1.1,214.53,1.1
1582.7,214.52,1.1,214.52,1.1
1583.2,214.51,1.1,214.51,1.1
1583.7,214.5,1.1,214.5,1.1
1584.2,214.48,1.1,214.48,1.1
1584.7,214.47,1.1,214.47,1.1
1585.2,214.46,1.1,214.46,1.1
1585.7,214.45,1.1,214.45,1.1
1586.2,214.44,1.1,214.44,1.1
1586.7,214.42,1.1,214.42,1.1
1587.2,214.41,1.1,214.41,1.1
1587.7,214.4,1.1,214.4,1.1
1588.2,214.39,1.1,214.39,1.1
1588.7,214.38,1.1,214.38,1.1
1589.2,214.36,1.1,214.36,1.1
1589.7,214.35,1.1,214.35,1.1
1590.2,214.34,1.1,214.34,1.1
1590.7,214.33,1.1,214.33,1.1
1591.2,214.32,1.1,214.32,1.1
1591.7,214.31,1.1,214.31,1.1
1592.2,214.29,1.1,214.29,1.1
1592.7,214.28,1.1,214.28,1.1
1593.2,214.27,1.1,214.27,1.1
1593.7,214.26,1.1,214.26,1.1
1594.2,214.25,1.1,214.25,1.1
1594.7,214.23,1.1,214.23,1.1
1595.2,214.22,1.1,214.22,1.1
1595.7,214.21,1.1,214.21,1.1
1596.2,214.2,1.1,214.2,1.1
1596.7,214.19,1.1,214.19,1.1
1597.2,214.18,1.1,214.18,1.1
1597.7,214.16,1.1,214.16,1.1
1598.2,214.15,1.1,214.15,1.1
1598.7,214.14,1.1,214.14,1.1
1599.2,214.13,1.1,214.13,1.1
1599.7,214.12,1.1,214.12,1.1
1600.2,214.11,1.1,214.11,1.1
1600.7,214.1,1.1,214.1,1.1
1601.2,214.08,1.1,214.08,1.1
1601.7,214.07,1.1,214.07,1.1
1602.2,214.06,1.1,214.06,1.1
1602.7,214.05,1.1,214.05,1.1
1603.2,214.04,1.1,214.04,1.1
1603.7,214.03,1.1,214.03,1.1
1604.2,214.01,1.1,214.01,1.1
1604.7,214,1.1,214,1.1
1605.2,213.99,1.1,213.99,1.1
1605.7,213.98,1.1,213.98,1.1
1606.2,213.97,1.1,213.97,1.1
1606.7,213.96,1.1,213.96,1.1
1607.2,213.95,1.1,213.95,1.1
1607.7,213.93,1.1,213.93,1.1
1608.2,213.92,1.1,213.92,1.1
1608.7,213.91,1.1,213.91,1.1
1609.2,213.9,1.1,213.9,1.1
1609.7,213.89,1.1,213.89,1.1
1610.2,213.88,1.1,213.88,1.1
1610.7,213.87,1.1,213.87,1.1
1611.2,213.86,1.1,213.86,1.1
1611.7,213.84,1.1,213.84,1.1
1612.2,213.83,1.1,213.83,1.1
1612.7,213.82,1.1,213.82,1.1
1613.2,213.81,1.1,213.81,1.1
1613.7,213.8,1.1,213.8,1.1
1614.2,213.79,1.1,213.79,1.1
1614.7,213.78,1.1,213.78,1.1
1615.2,213.77,1.1,213.77,1.1
1615.7,213.75,1.1,213.75,1.1
1616.2,213.74,1.1,213.74,1.1
1616.7,213.73,1.1,213.73,1.1
1617.2,213.72,1.1,213.72,1.1
1617.7,213.71,1.1,213.71,1.1
1618.2,213.7,1.1,213.7,1.1
1618.7,213.69,1.1,213.69,1.1
1619.2,213.68,1.1,213.68,1.1
1619.7,213.66,1.1,213.66,1.1
1620.2,213.65,1.1,213.65,1.1
1620.7,213.64,1.1,213.64,1.1
1621.2,213.63,1.1,213.63,1.1
1621.7,213.62,1.09,213.62,1.09
1622.2,213.61,1.09,213.61,1.09
1622.7,213.6,1.09,213.6,1.09
1623.2,213.59,1.09,213.59,1.09
1623.7,213.58,1.09,213.58,1.09
1624.2,213.57,1.09,213.57,1.09
1624.7,213.55,1.09,213.55,1.09
1625.2,213.54,1.09,213.54,1.09
1625.7,213.53,1.09,213.53,1.09
1626.2,213.52,1.09,213.52,1.09
1626.7,213.51,1.09,213.51,1.09
1627.2,213.5,1.09,213.5,1.09
1627.7,213.49,1.09,213.49,1.09
1628.2,213.48,1.09,213.48,1.09
1628.7,213.47,1.09,213.47,1.09
1629.2,213.46,1.09,213.46,1.09
1629.7,213.45,1.09,213.45,1.09
1630.2,213.43,1.09,213.43,1.09
1630.7,213.42,1.09,213.42,1.09
1631.2,213.41,1.09,213.41,1.09
1631.7,213.4,1.09,213.4,1.09
1632.2,213.39,1.09,213.39,1.09
1632.7,213.38,1.09,213.38,1.09
1633.2,213.37,1.09,213.37,1.09
1633.7,213.36,1.09,213.36,1.09
1634.2,213.35,1.09,213.35,1.09
1634.7,213.34,1.09,213.34,1.09
1635.2,213.33,1.09,213.33,1.09
1635.7,213.32,1.09,213.32,1.09
1636.2,213.3,1.09,213.3,1.09
1636.7,213.29,1.09,213.29,1.09
1637.2,213.28,1.09,213.28,1.09
1637.7,213.27,1.09,213.27,1.09
1638.2,213.26,1.09,213.26,1.09
1638.7,213.25,1.09,213.25,1.09
1639.2,213.24,1.09,213.24,1.09
1639.7,213.23,1.09,213.23,1.09
1640.2,213.22,1.09,213.22,1.09
1640.7,213.21,1.09,213.21,1.09
1641.2,213.2,1.09,213.2,1.09
1641.7,213.19,1.09,213.19,1.09
1642.2,213.18,1.09,213.18,1.09
1642.7,213.17,1.09,213.17,1.09
1643.2,213.16,1.09,213.16,1.09
1643.7,213.14,1.09,213.14,1.09
1644.2,213.13,1.09,213.13,1.09
1644.7,213.12,1.09,213.12,1.09
1645.2,213.11,1.09,213.11,1.09
1645.7,213.1,1.09,213.1,1.09
1646.2,213.09,1.09,213.09,1.09
1646.7,213.08,1.09,213.08,1.09
1647.2,213.07,1.09,213.07,1.09
1647.7,213.06,1.09,213.06,1.09
1648.2,213.05,1.09,213.05,1.09
1648.7,213.04,1.09,213.04,1.09
1649.2,213.03,1.09,213.03,1.09
1649.7,213.02,1.09,213.02,1.09
1650.2,213.01,1.09,213.01,1.09
1650.7,213,1.09,213,1.09
1651.2,212.99,1.09,212.99,1.09
1651.7,212.98,1.09,212.98,1.09
1652.2,212.97,1.09,212.97,1.09
1652.7,212.96,1.09,212.96,1.09
1653.2,212.95,1.09,212.95,1.09
1653.7,212.94,1.09,212.94,1.09
1654.2,212.93,1.09,212.93,1.09
1654.7,212.92,1.09,212.92,1.09
1655.2,212.9,1.09,212.9,1.09
1655.7,212.89,1.09,212.89,1.09
1656.2,212.88,1.09,212.88,1.09
1656.7,212.87,1.09,212.87,1.09
1657.2,212.86,1.09,212.86,1.09
1657.7,212.85,1.09,212.85,1.09
1658.2,212.84,1.09,212.84,1.09
1658.7,212.83,1.09,212.83,1.09
1659.2,212.82,1.09,212.82,1.09
1659.7,212.81,1.09,212.81,1.09
1660.2,212.8,1.09,212.8,1.09
1660.7,212.79,1.09,212.79,1.09
1661.2,212.78,1.09,212.78,1.09
1661.7,212.77,1.09,212.77,1.09
1662.2,212.76,1.09,212.76,1.09
1662.7,212.75,1.09,212.75,1.09
1663.2,212.74,1.09,212.74,1.09
1663.7,212.73,1.09,212.73,1.09
1664.2,212.72,1.09,212.72,1.09
1664.7,212.71,1.09,212.71,1.09
1665.2,212.7,1.09,212.7,1.09
1665.7,212.69,1.09,212.69,1.09
1666.2,212.68,1.09,212.68,1.09
1666.7,212.67,1.09,212.67,1.09
1667.2,212.66,1.09,212.66,1.09
1667.7,212.65,1.09,212.65,1.09
1668.2,212.64,1.09,212.64,1.09
1668.7,212.63,1.09,212.63,1.09
1669.2,212.62,1.09,212.62,1.09
1669.7,212.61,1.09,212.61,1.09
1670.2,212.6,1.09,212.6,1.09
1670.7,212.59,1.09,212.59,1.09
1671.2,212.58,1.09,212.58,1.09
1671.7,212.57,1.09,212.57,1.09
1672.2,212.56,1.09,212.56,1.09
1672.7,212.55,1.09,212.55,1.09
1673.2,212.54,1.09,212.54,1.09
1673.7,212.53,1.09,212.53,1.09
1674.2,212.52,1.09,212.52,1.09
1674.7,212.51,1.09,212.51,1.09
1675.2,212.5,1.09,212.5,1.09
1675.7,212.49,1.09,212.49,1.09
1676.2,212.48,1.09,212.48,1.09
1676.7,212.47,1.09,212.47,1.09
1677.2,212.46,1.09,212.46,1.09
1677.7,212.45,1.09,212.45,1.09
1678.2,212.44,1.09,212.44,1.09
1678.7,212.43,1.09,212.43,1.09
1679.2,212.42,1.09,212.42,1.09
1679.7,212.41,1.09,212.41,1.09
1680.2,212.4,1.09,212.4,1.09
1680.7,212.39,1.09,212.39,1.09
1681.2,212.38,1.09,212.38,1.09
1681.7,212.37,1.09,212.37,1.09
1682.2,212.36,1.09,212.36,1.09
1682.7,212.35,1.09,212.35,1.09
1683.2,212.34,1.09,212.34,1.09
1683.7,212.33,1.09,212.33,1.09
1684.2,212.32,1.09,212.32,1.09
1684.7,212.31,1.09,212.31,1.09
1685.2,212.3,1.09,212.3,1.09
1685.7,212.29,1.09,212.29,1.09
1686.2,212.28,1.09,212.28,1.09
1686.7,212.27,1.09,212.27,1.09
1687.2,212.26,1.09,212.26,1.09
1687.7,212.26,1.09,212.26,1.09
1688.2,212.25,1.09,212.25,1.09
1688.7,212.24,1.09,212.24,1.09
1689.2,212.23,1.09,212.23,1.09
1689.7,212.22,1.09,212.22,1.09
1690.2,212.21,1.09,212.21,1.09
1690.7,212.2,1.09,212.2,1.09
1691.2,212.19,1.09,212.19,1.09
1691.7,212.18,1.09,212.18,1.09
1692.2,212.17,1.09,212.17,1.09
1692.7,212.16,1.09,212.16,1.09
1693.2,212.15,1.09,212.15,1.09
1693.7,212.14,1.09,212.14,1.09
1694.2,212.13,1.09,212.13,1.09
1694.7,212.12,1.09,212.12,1.09
1695.2,212.11,1.09,212.11,1.09
1695.7,212.1,1.09,212.1,1.09
1696.2,212.09,1.09,212.09,1.09
1696.7,212.08,1.09,212.08,1.09
1697.2,212.07,1.09,212.07,1.09
1697.7,212.06,1.09,212.06,1.09
1698.2,212.05,1.09,212.05,1.09
1698.7,212.04,1.09,212.04,1.09
1699.2,212.03,1.09,212.03,1.09
1699.7,212.03,1.09,212.03,1.09
1700.2,212.02,1.09,212.02,1.09
1700.7,212.01,1.09,212.01,1.09
1701.2,212,1.09,212,1.09
1701.7,211.99,1.09,211.99,1.09
1702.2,211.98,1.09,211.98,1.09
1702.7,211.97,1.09,211.97,1.09
1703.2,211.96,1.09,211.96,1.09
1703.7,211.95,1.09,211.95,1.09
1704.2,211.94,1.09,211.94,1.09
1704.7,211.93,1.09,211.93,1.09
1705.2,211.92,1.09,211.92,1.09
1705.7,211.91,1.09,211.91,1.09
1706.2,211.9,1.09,211.9,1.09
1706.7,211.89,1.09,211.89,1.09
1707.2,211.88,1.09,211.88,1.09
1707.7,211.88,1.09,211.88,1.09
1708.2,211.87,1.09,211.87,1.09
1708.7,211.86,1.09,211.86,1.09
1709.2,211.85,1.09,211.85,1.09
1709.7,211.84,1.09,211.84,1.09
1710.2,211.83,1.09,211.83,1.09
1710.7,211.82,1.09,211.82,1.09
1711.2,211.81,1.09,211.81,1.09
1711.7,211.8,1.09,211.8,1.09
1712.2,211.79,1.09,211.79,1.09
1712.7,211.78,1.09,211.78,1.09
1713.2,211.77,1.09,211.77,1.09
1713.7,211.76,1.09,211.76,1.09
1714.2,211.76,1.09,211.76,1.09
1714.7,211.75,1.09,211.75,1.09
1715.2,211.74,1.09,211.74,1.09
1715.7,211.73,1.09,211.73,1.09
1716.2,211.72,1.09,211.72,1.09
1716.7,211.71,1.09,211.71,1.09
1717.2,211.7,1.09,211.7,1.09
1717.7,211.69,1.09,211.69,1.09
1718.2,211.68,1.09,211.68,1.09
1718.7,211.67,1.09,211.67,1.09
1719.2,211.66,1.09,211.66,1.09
1719.7,211.65,1.09,211.65,1.09
1720.2,211.65,1.09,211.65,1.09
1720.7,211.64,1.09,211.64,1.09
1721.2,211.63,1.09,211.63,1.09
1721.7,211.62,1.09,211.62,1.09
1722.2,211.61,1.09,211.61,1.09
1722.7,211.6,1.09,211.6,1.09
1723.2,211.59,1.09,211.59,1.09
1723.7,211.58,1.09,211.58,1.09
1724.2,211.57,1.09,211.57,1.09
1724.7,211.56,1.09,211.56,1.09
1725.2,211.56,1.09,211.56,1.09
1725.7,211.55,1.09,211.55,1.09
1726.2,211.54,1.09,211.54,1.09
1726.7,211.53,1.09,211.53,1.09
1727.2,211.52,1.09,211.52,1.09
1727.7,211.51,1.09,211.51,1.09
1728.2,211.5,1.09,211.5,1.09
1728.7,211.49,1.09,211.49,1.09
1729.2,211.48,1.09,211.48,1.09
1729.7,211.47,1.09,211.47,1.09
1730.2,211.47,1.09,211.47,1.09
1730.7,211.46,1.09,211.46,1.09
1731.2,211.45,1.09,211.45,1.09
1731.7,211.44,1.09,211.44,1.09
1732.2,211.43,1.09,211.43,1.09
1732.7,211.42,1.09,211.42,1.09
1733.2,211.41,1.09,211.41,1.09
1733.7,211.4,1.09,211.4,1.09
1734.2,211.39,1.09,211.39,1.09
1734.7,211.39,1.09,211.39,1.09
1735.2,211.38,1.09,211.38,1.09
1735.7,211.37,1.09,211.37,1.09
1736.2,211.36,1.09,211.36,1.09
1736.7,211.35,1.09,211.35,1.09
1737.2,211.34,1.09,211.34,1.09
1737.7,211.33,1.09,211.33,1.09
1738.2,211.32,1.09,211.32,1.09
1738.7,211.32,1.09,211.32,1.09
1739.2,211.31,1.09,211.31,1.09
1739.7,211.3,1.09,211.3,1.09
1740.2,211.29,1.09,211.29,1.09
1740.7,211.28,1.09,211.28,1.09
1741.2,211.27,1.09,211.27,1.09
1741.7,211.26,1.09,211.26,1.09
1742.2,211.25,1.09,211.25,1.09
1742.7,211.25,1.09,211.25,1.09
1743.2,211.24,1.09,211.24,1.09
1743.7,211.23,1.09,211.23,1.09
1744.2,211.22,1.09,211.22,1.09
1744.7,211.21,1.09,211.21,1.09
1745.2,211.2,1.09,211.2,1.09
1745.7,211.19,1.08,211.19,1.08
1746.2,211.18,1.08,211.18,1.08
1746.7,211.18,1.08,211.18,1.08
1747.2,211.17,1.08,211.17,1.08
1747.7,211.16,1.08,211.16,1.08
1748.2,211.15,1.08,211.15,1.08
1748.7,211.14,1.08,211.14,1.08
1749.2,211.13,1.08,211.13,1.08
1749.7,211.12,1.08,211.12,1.08
1750.2,211.12,1.08,211.12,1.08
1750.7,211.11,1.08,211.11,1.08
1751.2,211.1,1.08,211.1,1.08
1751.7,211.09,1.08,211.09,1.08
1752.2,211.08,1.08,211.08,1.08
1752.7,211.07,1.08,211.07,1.08
1753.2,211.06,1.08,211.06,1.08
1753.7,211.06,1.08,211.06,1.08
1754.2,211.05,1.08,211.05,1.08
1754.7,211.04,1.08,211.04,1.08
1755.2,211.03,1.08,211.03,1.08
1755.7,211.02,1.08,211.02,1.08
1756.2,211.01,1.08,211.01,1.08
1756.7,211,1.08,211,1.08
1757.2,211,1.08,211,1.08
1757.7,210.99,1.08,210.99,1.08
1758.2,210.98,1.08,210.98,1.08
1758.7,210.97,1.08,210.97,1.08
1759.2,210.96,1.08,210.96,1.08
1759.7,210.95,1.08,210.95,1.08
1760.2,210.95,1.08,210.95,1.08
1760.7,210.94,1.08,210.94,1.08
1761.2,210.93,1.08,210.93,1.08
1761.7,210.92,1.08,210.92,1.08
1762.2,210.91,1.08,210.91,1.08
1762.7,210.9,1.08,210.9,1.08
1763.2,210.9,1.08,210.9,1.08
1763.7,210.89,1.08,210.89,1.08
1764.2,210.88,1.08,210.88,1.08
1764.7,210.87,1.08,210.87,1.08
1765.2,210.86,1.08,210.86,1.08
1765.7,210.85,1.08,210.85,1.08
1766.2,210.85,1.08,210.85,1.08
1766.7,210.84,1.08,210.84,1.08
1767.2,210.83,1.08,210.83,1.08
1767.7,210.82,1.08,210.82,1.08
1768.2,210.81,1.08,210.81,1.08
1768.7,210.8,1.08,210.8,1.08
1769.2,210.8,1.08,210.8,1.08
1769.7,210.79,1.08,210.79,1.08
1770.2,210.78,1.08,210.78,1.08
1770.7,210.77,1.08,210.77,1.08
1771.2,210.76,1.08,210.76,1.08
1771.7,210.75,1.08,210.75,1.08
1772.2,210.75,1.08,210.75,1.08
1772.7,210.74,1.08,210.74,1.08
1773.2,210.73,1.08,210.73,1.08
1773.7,210.72,1.08,210.72,1.08
1774.2,210.71,1.08,210.71,1.08
1774.7,210.7,1.08,210.7,1.08
1775.2,210.7,1.08,210.7,1.08
1775.7,210.69,1.08,210.69,1.08
1776.2,210.68,1.08,210.68,1.08
1776.7,210.67,1.08,210.67,1.08
1777.2,210.66,1.08,210.66,1.08
1777.7,210.66,1.08,210.66,1.08
1778.2,210.65,1.08,210.65,1.08
1778.7,210.64,1.08,210.64,1.08
1779.2,210.63,1.08,210.63,1.08
1779.7,210.62,1.08,210.62,1.08
1780.2,210.62,1.08,210.62,1.08
1780.7,210.61,1.08,210.61,1.08
1781.2,210.6,1.08,210.6,1.08
1781.7,210.59,1.08,210.59,1.08
1782.2,210.58,1.08,210.58,1.08
1782.7,210.57,1.08,210.57,1.08
1783.2,210.57,1.08,210.57,1.08
1783.7,210.56,1.08,210.56,1.08
1784.2,210.55,1.08,210.55,1.08
1784.7,210.54,1.08,210.54,1.08
1785.2,210.53,1.08,210.53,1.08
1785.7,210.53,1.08,210.53,1.08
1786.2,210.52,1.08,210.52,1.08
1786.7,210.51,1.08,210.51,1.08
1787.2,210.5,1.08,210.5,1.08
1787.7,210.49,1.08,210.49,1.08
1788.2,210.49,1.08,210.49,1.08
1788.7,210.48,1.08,210.48,1.08
1789.2,210.47,1.08,210.47,1.08
1789.7,210.46,1.08,210.46,1.08
1790.2,210.45,1.08,210.45,1.08
1790.7,210.45,1.08,210.45,1.08
1791.2,210.44,1.08,210.44,1.08
1791.7,210.43,1.08,210.43,1.08
1792.2,210.42,1.08,210.42,1.08
1792.7,210.41,1.08,210.41,1.08
1793.2,210.41,1.08,210.41,1.08
1793.7,210.4,1.08,210.4,1.08
1794.2,210.39,1.08,210.39,1.08
1794.7,210.38,1.08,210.38,1.08
1795.2,210.38,1.08,210.38,1.08
1795.7,210.37,1.08,210.37,1.08
1796.2,210.36,1.08,210.36,1.08
1796.7,210.35,1.08,210.35,1.08
1797.2,210.34,1.08,210.34,1.08
1797.7,210.34,1.08,210.34,1.08
1798.2,210.33,1.08,210.33,1.08
1798.7,210.32,1.08,210.32,1.08
1799.2,210.31,1.08,210.31,1.08
1799.7,210.3,1.08,210.3,1.08
1800.2,210.3,1.08,210.3,1.08
1800.7,210.29,1.08,210.29,1.08
1801.2,210.28,1.08,210.28,1.08
1801.7,210.27,1.08,210.27,1.08
1802.2,210.27,1.08,210.27,1.08
1802.7,210.26,1.08,210.26,1.08
1803.2,210.25,1.08,210.25,1.08
1803.7,210.24,1.08,210.24,1.08
