wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
922.37,227.27,3.62,-186.66,1.53,29.6,0.65,168.07,3.82,256.87,3.69
922.87,227.04,3.62,-186.52,1.53,29.54,0.65,167.96,3.82,256.58,3.69
923.37,226.82,3.62,-186.39,1.52,29.48,0.65,167.85,3.82,256.3,3.69
923.87,226.59,3.62,-186.25,1.52,29.43,0.65,167.74,3.82,256.02,3.69
924.37,226.37,3.62,-186.11,1.52,29.37,0.65,167.63,3.82,255.74,3.69
924.87,226.15,3.62,-185.98,1.52,29.31,0.65,167.52,3.82,255.46,3.69
925.37,225.92,3.62,-185.85,1.52,29.26,0.64,167.41,3.82,255.18,3.69
925.87,225.7,3.62,-185.71,1.52,29.2,0.64,167.3,3.82,254.9,3.69
926.37,225.48,3.62,-185.58,1.52,29.15,0.64,167.19,3.82,254.63,3.69
926.87,225.26,3.62,-185.45,1.51,29.09,0.64,167.08,3.81,254.35,3.68
927.37,225.04,3.61,-185.32,1.51,29.04,0.64,166.97,3.81,254.08,3.68
927.87,224.82,3.61,-185.19,1.51,28.98,0.64,166.86,3.81,253.8,3.68
928.37,224.6,3.61,-185.06,1.51,28.93,0.64,166.75,3.81,253.53,3.68
928.87,224.38,3.61,-184.93,1.51,28.87,0.64,166.64,3.81,253.26,3.68
929.37,224.17,3.61,-184.81,1.51,28.82,0.64,166.53,3.81,252.98,3.68
929.87,223.95,3.61,-184.68,1.51,28.76,0.64,166.42,3.81,252.71,3.68
930.37,223.73,3.61,-184.55,1.5,28.71,0.64,166.31,3.81,252.44,3.68
930.87,223.52,3.61,-184.43,1.5,28.66,0.64,166.2,3.81,252.17,3.68
931.37,223.3,3.61,-184.3,1.5,28.6,0.64,166.09,3.81,251.91,3.68
931.87,223.09,3.61,-184.18,1.5,28.55,0.64,165.99,3.81,251.64,3.68
932.37,222.87,3.61,-184.06,1.5,28.5,0.64,165.88,3.81,251.37,3.67
932.87,222.66,3.61,-183.94,1.5,28.45,0.64,165.77,3.81,251.1,3.67
933.37,222.45,3.61,-183.82,1.5,28.39,0.64,165.66,3.8,250.84,3.67
933.87,222.23,3.61,-183.69,1.5,28.34,0.64,165.55,3.8,250.57,3.67
934.37,222.02,3.6,-183.57,1.49,28.29,0.64,165.44,3.8,250.31,3.67
934.87,221.81,3.6,-183.46,1.49,28.24,0.64,165.34,3.8,250.05,3.67
935.37,221.6,3.6,-183.34,1.49,28.19,0.64,165.23,3.8,249.78,3.67
935.87,221.39,3.6,-183.22,1.49,28.13,0.64,165.12,3.8,249.52,3.67
936.37,221.18,3.6,-183.1,1.49,28.08,0.64,165.01,3.8,249.26,3.67
936.87,220.97,3.6,-182.99,1.49,28.03,0.64,164.91,3.8,249,3.67
937.37,220.76,3.6,-182.87,1.49,27.98,0.63,164.8,3.8,248.74,3.66
937.87,220.55,3.6,-182.76,1.48,27.93,0.63,164.69,3.8,248.48,3.66
938.37,220.34,3.6,-182.64,1.48,27.88,0.63,164.58,3.8,248.22,3.66
938.87,220.14,3.6,-182.53,1.48,27.83,0.63,164.48,3.8,247.97,3.66
939.37,219.93,3.6,-182.42,1.48,27.78,0.63,164.37,3.8,247.71,3.66
939.87,219.72,3.6,-182.3,1.48,27.73,0.63,164.26,3.8,247.45,3.66
940.37,219.52,3.6,-182.19,1.48,27.68,0.63,164.16,3.79,247.2,3.66
940.87,219.31,3.6,-182.08,1.48,27.63,0.63,164.05,3.79,246.95,3.66
941.37,219.11,3.59,-181.97,1.48,27.58,0.63,163.94,3.79,246.69,3.66
941.87,218.9,3.59,-181.86,1.47,27.53,0.63,163.84,3.79,246.44,3.66
942.37,218.7,3.59,-181.75,1.47,27.48,0.63,163.73,3.79,246.19,3.66
942.87,218.5,3.59,-181.65,1.47,27.44,0.63,163.63,3.79,245.93,3.66
943.37,218.3,3.59,-181.54,1.47,27.39,0.63,163.52,3.79,245.68,3.65
943.87,218.09,3.59,-181.43,1.47,27.34,0.63,163.41,3.79,245.43,3.65
944.37,217.89,3.59,-181.32,1.47,27.29,0.63,163.31,3.79,245.18,3.65
944.87,217.69,3.59,-181.22,1.47,27.24,0.63,163.2,3.79,244.93,3.65
945.37,217.49,3.59,-181.11,1.47,27.2,0.63,163.1,3.79,244.69,3.65
945.87,217.29,3.59,-181.01,1.46,27.15,0.63,162.99,3.79,244.44,3.65
946.37,217.09,3.59,-180.91,1.46,27.1,0.63,162.89,3.79,244.19,3.65
946.87,216.89,3.59,-180.8,1.46,27.05,0.63,162.78,3.79,243.94,3.65
947.37,216.69,3.59,-180.7,1.46,27.01,0.63,162.68,3.78,243.7,3.65
947.87,216.49,3.59,-180.6,1.46,26.96,0.63,162.57,3.78,243.45,3.65
948.37,216.29,3.58,-180.5,1.46,26.91,0.63,162.47,3.78,243.21,3.65
948.87,216.1,3.58,-180.4,1.46,26.87,0.63,162.36,3.78,242.97,3.64
949.37,215.9,3.58,-180.3,1.46,26.82,0.63,162.26,3.78,242.72,3.64
949.87,215.7,3.58,-180.2,1.45,26.78,0.62,162.15,3.78,242.48,3.64
950.37,215.51,3.58,-180.1,1.45,26.73,0.62,162.05,3.78,242.24,3.64
950.87,215.31,3.58,-180,1.45,26.68,0.62,161.94,3.78,242,3.64
951.37,215.12,3.58,-179.91,1.45,26.64,0.62,161.84,3.78,241.76,3.64
951.87,214.92,3.58,-179.81,1.45,26.59,0.62,161.73,3.78,241.52,3.64
952.37,214.73,3.58,-179.71,1.45,26.55,0.62,161.63,3.78,241.28,3.64
952.87,214.53,3.58,-179.62,1.45,26.5,0.62,161.53,3.78,241.04,3.64
953.37,214.34,3.58,-179.52,1.45,26.46,0.62,161.42,3.78,240.8,3.64
953.87,214.15,3.58,-179.43,1.44,26.41,0.62,161.32,3.78,240.56,3.64
954.37,213.95,3.58,-179.33,1.44,26.37,0.62,161.21,3.78,240.32,3.64
954.87,213.76,3.58,-179.24,1.44,26.33,0.62,161.11,3.77,240.09,3.63
955.37,213.57,3.58,-179.15,1.44,26.28,0.62,161.01,3.77,239.85,3.63
955.87,213.38,3.57,-179.05,1.44,26.24,0.62,160.9,3.77,239.62,3.63
956.37,213.19,3.57,-178.96,1.44,26.19,0.62,160.8,3.77,239.38,3.63
956.87,213,3.57,-178.87,1.44,26.15,0.62,160.7,3.77,239.15,3.63
957.37,212.81,3.57,-178.78,1.44,26.11,0.62,160.59,3.77,238.92,3.63
957.87,212.62,3.57,-178.69,1.44,26.06,0.62,160.49,3.77,238.68,3.63
958.37,212.43,3.57,-178.6,1.43,26.02,0.62,160.39,3.77,238.45,3.63
958.87,212.24,3.57,-178.51,1.43,25.98,0.62,160.28,3.77,238.22,3.63
959.37,212.05,3.57,-178.43,1.43,25.94,0.62,160.18,3.77,237.99,3.63
959.87,211.86,3.57,-178.34,1.43,25.89,0.62,160.08,3.77,237.76,3.63
960.37,211.68,3.57,-178.25,1.43,25.85,0.62,159.98,3.77,237.53,3.63
960.87,211.49,3.57,-178.16,1.43,25.81,0.62,159.87,3.77,237.3,3.63
961.37,211.3,3.57,-178.08,1.43,25.77,0.62,159.77,3.77,237.07,3.62
961.87,211.12,3.57,-177.99,1.43,25.72,0.62,159.67,3.77,236.84,3.62
962.37,210.93,3.57,-177.91,1.43,25.68,0.62,159.57,3.76,236.61,3.62
962.87,210.75,3.57,-177.82,1.42,25.64,0.62,159.46,3.76,236.39,3.62
963.37,210.56,3.56,-177.74,1.42,25.6,0.62,159.36,3.76,236.16,3.62
963.87,210.38,3.56,-177.66,1.42,25.56,0.61,159.26,3.76,235.93,3.62
964.37,210.19,3.56,-177.57,1.42,25.52,0.61,159.16,3.76,235.71,3.62
964.87,210.01,3.56,-177.49,1.42,25.47,0.61,159.06,3.76,235.48,3.62
965.37,209.82,3.56,-177.41,1.42,25.43,0.61,158.96,3.76,235.26,3.62
965.87,209.64,3.56,-177.33,1.42,25.39,0.61,158.85,3.76,235.03,3.62
966.37,209.46,3.56,-177.25,1.42,25.35,0.61,158.75,3.76,234.81,3.62
966.87,209.27,3.56,-177.17,1.42,25.31,0.61,158.65,3.76,234.59,3.62
967.37,209.09,3.56,-177.09,1.41,25.27,0.61,158.55,3.76,234.36,3.62
967.87,208.91,3.56,-177.01,1.41,25.23,0.61,158.45,3.76,234.14,3.61
968.37,208.73,3.56,-176.93,1.41,25.19,0.61,158.35,3.76,233.92,3.61
968.87,208.55,3.56,-176.85,1.41,25.15,0.61,158.25,3.76,233.7,3.61
969.37,208.37,3.56,-176.77,1.41,25.11,0.61,158.14,3.76,233.48,3.61
969.87,208.19,3.56,-176.7,1.41,25.07,0.61,158.04,3.76,233.26,3.61
970.37,208.01,3.56,-176.62,1.41,25.03,0.61,157.94,3.75,233.04,3.61
970.87,207.83,3.56,-176.54,1.41,24.99,0.61,157.84,3.75,232.82,3.61
971.37,207.65,3.56,-176.47,1.41,24.95,0.61,157.74,3.75,232.6,3.61
971.87,207.47,3.55,-176.39,1.41,24.91,0.61,157.64,3.75,232.39,3.61
972.37,207.29,3.55,-176.32,1.4,24.88,0.61,157.54,3.75,232.17,3.61
972.87,207.11,3.55,-176.24,1.4,24.84,0.61,157.44,3.75,231.95,3.61
973.37,206.94,3.55,-176.17,1.4,24.8,0.61,157.34,3.75,231.73,3.61
973.87,206.76,3.55,-176.09,1.4,24.76,0.61,157.24,3.75,231.52,3.61
974.37,206.58,3.55,-176.02,1.4,24.72,0.61,157.14,3.75,231.3,3.61
974.87,206.41,3.55,-175.95,1.4,24.68,0.61,157.04,3.75,231.09,3.6
975.37,206.23,3.55,-175.88,1.4,24.64,0.61,156.94,3.75,230.87,3.6
975.87,206.05,3.55,-175.81,1.4,24.61,0.61,156.84,3.75,230.66,3.6
976.37,205.88,3.55,-175.73,1.4,24.57,0.61,156.74,3.75,230.45,3.6
976.87,205.7,3.55,-175.66,1.4,24.53,0.61,156.64,3.75,230.23,3.6
977.37,205.53,3.55,-175.59,1.39,24.49,0.61,156.54,3.75,230.02,3.6
977.87,205.35,3.55,-175.52,1.39,24.46,0.61,156.44,3.75,229.81,3.6
978.37,205.18,3.55,-175.46,1.39,24.42,0.61,156.34,3.74,229.6,3.6
978.87,205,3.55,-175.39,1.39,24.38,0.61,156.24,3.74,229.39,3.6
979.37,204.83,3.55,-175.32,1.39,24.34,0.6,156.14,3.74,229.17,3.6
979.87,204.66,3.54,-175.25,1.39,24.31,0.6,156.04,3.74,228.96,3.6
980.37,204.48,3.54,-175.18,1.39,24.27,0.6,155.94,3.74,228.75,3.6
980.87,204.31,3.54,-175.12,1.39,24.23,0.6,155.84,3.74,228.55,3.6
981.37,204.14,3.54,-175.05,1.39,24.2,0.6,155.74,3.74,228.34,3.6
981.87,203.97,3.54,-174.98,1.39,24.16,0.6,155.65,3.74,228.13,3.59
982.37,203.8,3.54,-174.92,1.39,24.12,0.6,155.55,3.74,227.92,3.59
982.87,203.62,3.54,-174.85,1.38,24.09,0.6,155.45,3.74,227.71,3.59
983.37,203.45,3.54,-174.79,1.38,24.05,0.6,155.35,3.74,227.5,3.59
983.87,203.28,3.54,-174.72,1.38,24.02,0.6,155.25,3.74,227.3,3.59
984.37,203.11,3.54,-174.66,1.38,23.98,0.6,155.15,3.74,227.09,3.59
984.87,202.94,3.54,-174.6,1.38,23.94,0.6,155.05,3.74,226.89,3.59
985.37,202.77,3.54,-174.53,1.38,23.91,0.6,154.95,3.74,226.68,3.59
985.87,202.6,3.54,-174.47,1.38,23.87,0.6,154.86,3.74,226.48,3.59
986.37,202.43,3.54,-174.41,1.38,23.84,0.6,154.76,3.74,226.27,3.59
986.87,202.26,3.54,-174.35,1.38,23.8,0.6,154.66,3.73,226.07,3.59
987.37,202.1,3.54,-174.29,1.38,23.77,0.6,154.56,3.73,225.86,3.59
987.87,201.93,3.54,-174.22,1.38,23.73,0.6,154.46,3.73,225.66,3.59
988.37,201.76,3.54,-174.16,1.37,23.7,0.6,154.37,3.73,225.46,3.59
988.87,201.59,3.53,-174.1,1.37,23.66,0.6,154.27,3.73,225.25,3.58
989.37,201.42,3.53,-174.04,1.37,23.63,0.6,154.17,3.73,225.05,3.58
989.87,201.26,3.53,-173.98,1.37,23.59,0.6,154.07,3.73,224.85,3.58
990.37,201.09,3.53,-173.93,1.37,23.56,0.6,153.97,3.73,224.65,3.58
990.87,200.92,3.53,-173.87,1.37,23.52,0.6,153.88,3.73,224.45,3.58
991.37,200.76,3.53,-173.81,1.37,23.49,0.6,153.78,3.73,224.25,3.58
991.87,200.59,3.53,-173.75,1.37,23.46,0.6,153.68,3.73,224.05,3.58
992.37,200.43,3.53,-173.69,1.37,23.42,0.6,153.58,3.73,223.85,3.58
992.87,200.26,3.53,-173.64,1.37,23.39,0.6,153.49,3.73,223.65,3.58
993.37,200.1,3.53,-173.58,1.37,23.35,0.6,153.39,3.73,223.45,3.58
993.87,199.93,3.53,-173.53,1.36,23.32,0.6,153.29,3.73,223.25,3.58
994.37,199.77,3.53,-173.47,1.36,23.29,0.6,153.19,3.73,223.05,3.58
994.87,199.6,3.53,-173.41,1.36,23.25,0.6,153.1,3.73,222.86,3.58
995.37,199.44,3.53,-173.36,1.36,23.22,0.6,153,3.72,222.66,3.58
995.87,199.27,3.53,-173.31,1.36,23.19,0.6,152.9,3.72,222.46,3.58
996.37,199.11,3.53,-173.25,1.36,23.15,0.6,152.81,3.72,222.26,3.58
996.87,198.95,3.53,-173.2,1.36,23.12,0.59,152.71,3.72,222.07,3.57
997.37,198.79,3.53,-173.14,1.36,23.09,0.59,152.61,3.72,221.87,3.57
997.87,198.62,3.52,-173.09,1.36,23.05,0.59,152.51,3.72,221.68,3.57
998.37,198.46,3.52,-173.04,1.36,23.02,0.59,152.42,3.72,221.48,3.57
998.87,198.3,3.52,-172.99,1.36,22.99,0.59,152.32,3.72,221.29,3.57
999.37,198.14,3.52,-172.93,1.36,22.96,0.59,152.22,3.72,221.09,3.57
999.87,197.98,3.52,-172.88,1.35,22.92,0.59,152.13,3.72,220.9,3.57
1000.37,197.81,3.52,-172.83,1.35,22.89,0.59,152.03,3.72,220.71,3.57
1000.87,197.65,3.52,-172.78,1.35,22.86,0.59,151.94,3.72,220.51,3.57
1001.37,197.49,3.52,-172.73,1.35,22.83,0.59,151.84,3.72,220.32,3.57
1001.87,197.33,3.52,-172.68,1.35,22.79,0.59,151.74,3.72,220.13,3.57
1002.37,197.17,3.52,-172.63,1.35,22.76,0.59,151.65,3.72,219.94,3.57
1002.87,197.01,3.52,-172.58,1.35,22.73,0.59,151.55,3.72,219.74,3.57
1003.37,196.85,3.52,-172.53,1.35,22.7,0.59,151.45,3.72,219.55,3.57
1003.87,196.69,3.52,-172.49,1.35,22.67,0.59,151.36,3.72,219.36,3.57
1004.37,196.53,3.52,-172.44,1.35,22.64,0.59,151.26,3.71,219.17,3.57
1004.87,196.38,3.52,-172.39,1.35,22.6,0.59,151.17,3.71,218.98,3.56
1005.37,196.22,3.52,-172.34,1.35,22.57,0.59,151.07,3.71,218.79,3.56
1005.87,196.06,3.52,-172.29,1.35,22.54,0.59,150.97,3.71,218.6,3.56
1006.37,195.9,3.52,-172.25,1.34,22.51,0.59,150.88,3.71,218.41,3.56
1006.87,195.74,3.52,-172.2,1.34,22.48,0.59,150.78,3.71,218.22,3.56
1007.37,195.58,3.51,-172.16,1.34,22.45,0.59,150.69,3.71,218.03,3.56
1007.87,195.43,3.51,-172.11,1.34,22.42,0.59,150.59,3.71,217.85,3.56
1008.37,195.27,3.51,-172.06,1.34,22.39,0.59,150.5,3.71,217.66,3.56
1008.87,195.11,3.51,-172.02,1.34,22.36,0.59,150.4,3.71,217.47,3.56
1009.37,194.96,3.51,-171.98,1.34,22.33,0.59,150.31,3.71,217.28,3.56
1009.87,194.8,3.51,-171.93,1.34,22.3,0.59,150.21,3.71,217.1,3.56
1010.37,194.64,3.51,-171.89,1.34,22.26,0.59,150.11,3.71,216.91,3.56
1010.87,194.49,3.51,-171.84,1.34,22.23,0.59,150.02,3.71,216.72,3.56
1011.37,194.33,3.51,-171.8,1.34,22.2,0.59,149.92,3.71,216.54,3.56
1011.87,194.18,3.51,-171.76,1.34,22.17,0.59,149.83,3.71,216.35,3.56
1012.37,194.02,3.51,-171.72,1.34,22.14,0.59,149.73,3.71,216.17,3.56
1012.87,193.87,3.51,-171.67,1.33,22.11,0.59,149.64,3.71,215.98,3.55
1013.37,193.71,3.51,-171.63,1.33,22.08,0.59,149.54,3.71,215.8,3.55
1013.87,193.56,3.51,-171.59,1.33,22.05,0.59,149.45,3.7,215.61,3.55
1014.37,193.4,3.51,-171.55,1.33,22.02,0.59,149.35,3.7,215.43,3.55
1014.87,193.25,3.51,-171.51,1.33,22,0.59,149.26,3.7,215.24,3.55
1015.37,193.1,3.51,-171.47,1.33,21.97,0.59,149.16,3.7,215.06,3.55
1015.87,192.94,3.51,-171.43,1.33,21.94,0.58,149.07,3.7,214.88,3.55
1016.37,192.79,3.51,-171.39,1.33,21.91,0.58,148.98,3.7,214.7,3.55
1016.87,192.64,3.51,-171.35,1.33,21.88,0.58,148.88,3.7,214.51,3.55
1017.37,192.48,3.5,-171.31,1.33,21.85,0.58,148.79,3.7,214.33,3.55
1017.87,192.33,3.5,-171.27,1.33,21.82,0.58,148.69,3.7,214.15,3.55
1018.37,192.18,3.5,-171.23,1.33,21.79,0.58,148.6,3.7,213.97,3.55
1018.87,192.03,3.5,-171.19,1.33,21.76,0.58,148.5,3.7,213.79,3.55
1019.37,191.87,3.5,-171.15,1.33,21.73,0.58,148.41,3.7,213.61,3.55
1019.87,191.72,3.5,-171.12,1.32,21.7,0.58,148.31,3.7,213.42,3.55
1020.37,191.57,3.5,-171.08,1.32,21.67,0.58,148.22,3.7,213.24,3.55
1020.87,191.42,3.5,-171.04,1.32,21.65,0.58,148.13,3.7,213.06,3.55
1021.37,191.27,3.5,-171.01,1.32,21.62,0.58,148.03,3.7,212.88,3.55
1021.87,191.12,3.5,-170.97,1.32,21.59,0.58,147.94,3.7,212.71,3.54
1022.37,190.97,3.5,-170.93,1.32,21.56,0.58,147.84,3.7,212.53,3.54
1022.87,190.81,3.5,-170.9,1.32,21.53,0.58,147.75,3.7,212.35,3.54
1023.37,190.66,3.5,-170.86,1.32,21.5,0.58,147.66,3.69,212.17,3.54
1023.87,190.51,3.5,-170.83,1.32,21.48,0.58,147.56,3.69,211.99,3.54
1024.37,190.36,3.5,-170.79,1.32,21.45,0.58,147.47,3.69,211.81,3.54
1024.87,190.21,3.5,-170.76,1.32,21.42,0.58,147.37,3.69,211.64,3.54
1025.37,190.07,3.5,-170.72,1.32,21.39,0.58,147.28,3.69,211.46,3.54
1025.87,189.92,3.5,-170.69,1.32,21.36,0.58,147.19,3.69,211.28,3.54
1026.37,189.77,3.5,-170.66,1.32,21.34,0.58,147.09,3.69,211.1,3.54
1026.87,189.62,3.5,-170.62,1.31,21.31,0.58,147,3.69,210.93,3.54
1027.37,189.47,3.5,-170.59,1.31,21.28,0.58,146.91,3.69,210.75,3.54
1027.87,189.32,3.49,-170.56,1.31,21.25,0.58,146.81,3.69,210.58,3.54
1028.37,189.17,3.49,-170.52,1.31,21.23,0.58,146.72,3.69,210.4,3.54
1028.87,189.02,3.49,-170.49,1.31,21.2,0.58,146.63,3.69,210.22,3.54
1029.37,188.88,3.49,-170.46,1.31,21.17,0.58,146.53,3.69,210.05,3.54
1029.87,188.73,3.49,-170.43,1.31,21.15,0.58,146.44,3.69,209.87,3.54
1030.37,188.58,3.49,-170.4,1.31,21.12,0.58,146.34,3.69,209.7,3.54
1030.87,188.43,3.49,-170.37,1.31,21.09,0.58,146.25,3.69,209.53,3.53
1031.37,188.29,3.49,-170.34,1.31,21.06,0.58,146.16,3.69,209.35,3.53
1031.87,188.14,3.49,-170.31,1.31,21.04,0.58,146.07,3.69,209.18,3.53
1032.37,187.99,3.49,-170.28,1.31,21.01,0.58,145.97,3.69,209,3.53
1032.87,187.85,3.49,-170.25,1.31,20.98,0.58,145.88,3.69,208.83,3.53
1033.37,187.7,3.49,-170.22,1.31,20.96,0.58,145.79,3.68,208.66,3.53
1033.87,187.55,3.49,-170.19,1.31,20.93,0.58,145.69,3.68,208.49,3.53
1034.37,187.41,3.49,-170.16,1.31,20.9,0.58,145.6,3.68,208.31,3.53
1034.87,187.26,3.49,-170.13,1.3,20.88,0.58,145.51,3.68,208.14,3.53
1035.37,187.12,3.49,-170.1,1.3,20.85,0.58,145.41,3.68,207.97,3.53
1035.87,186.97,3.49,-170.07,1.3,20.83,0.58,145.32,3.68,207.8,3.53
1036.37,186.83,3.49,-170.05,1.3,20.8,0.58,145.23,3.68,207.63,3.53
1036.87,186.68,3.49,-170.02,1.3,20.77,0.57,145.14,3.68,207.45,3.53
1037.37,186.54,3.49,-169.99,1.3,20.75,0.57,145.04,3.68,207.28,3.53
1037.87,186.39,3.49,-169.96,1.3,20.72,0.57,144.95,3.68,207.11,3.53
1038.37,186.25,3.49,-169.94,1.3,20.69,0.57,144.86,3.68,206.94,3.53
1038.87,186.1,3.48,-169.91,1.3,20.67,0.57,144.77,3.68,206.77,3.53
1039.37,185.96,3.48,-169.89,1.3,20.64,0.57,144.67,3.68,206.6,3.53
1039.87,185.82,3.48,-169.86,1.3,20.62,0.57,144.58,3.68,206.43,3.53
1040.37,185.67,3.48,-169.83,1.3,20.59,0.57,144.49,3.68,206.26,3.52
1040.87,185.53,3.48,-169.81,1.3,20.57,0.57,144.4,3.68,206.09,3.52
1041.37,185.38,3.48,-169.78,1.3,20.54,0.57,144.3,3.68,205.93,3.52
1041.87,185.24,3.48,-169.76,1.3,20.52,0.57,144.21,3.68,205.76,3.52
1042.37,185.1,3.48,-169.73,1.3,20.49,0.57,144.12,3.68,205.59,3.52
1042.87,184.96,3.48,-169.71,1.3,20.46,0.57,144.03,3.68,205.42,3.52
1043.37,184.81,3.48,-169.69,1.29,20.44,0.57,143.93,3.68,205.25,3.52
1043.87,184.67,3.48,-169.66,1.29,20.41,0.57,143.84,3.67,205.08,3.52
1044.37,184.53,3.48,-169.64,1.29,20.39,0.57,143.75,3.67,204.92,3.52
1044.87,184.39,3.48,-169.62,1.29,20.36,0.57,143.66,3.67,204.75,3.52
1045.37,184.24,3.48,-169.59,1.29,20.34,0.57,143.57,3.67,204.58,3.52
1045.87,184.1,3.48,-169.57,1.29,20.31,0.57,143.47,3.67,204.42,3.52
1046.37,183.96,3.48,-169.55,1.29,20.29,0.57,143.38,3.67,204.25,3.52
1046.87,183.82,3.48,-169.53,1.29,20.26,0.57,143.29,3.67,204.08,3.52
1047.37,183.68,3.48,-169.5,1.29,20.24,0.57,143.2,3.67,203.92,3.52
1047.87,183.54,3.48,-169.48,1.29,20.22,0.57,143.11,3.67,203.75,3.52
1048.37,183.39,3.48,-169.46,1.29,20.19,0.57,143.01,3.67,203.59,3.52
1048.87,183.25,3.48,-169.44,1.29,20.17,0.57,142.92,3.67,203.42,3.52
1049.37,183.11,3.48,-169.42,1.29,20.14,0.57,142.83,3.67,203.25,3.52
1049.87,182.97,3.48,-169.4,1.29,20.12,0.57,142.74,3.67,203.09,3.52
1050.37,182.83,3.47,-169.38,1.29,20.09,0.57,142.65,3.67,202.93,3.51
1050.87,182.69,3.47,-169.36,1.29,20.07,0.57,142.56,3.67,202.76,3.51
1051.37,182.55,3.47,-169.34,1.29,20.04,0.57,142.46,3.67,202.6,3.51
1051.87,182.41,3.47,-169.32,1.29,20.02,0.57,142.37,3.67,202.43,3.51
1052.37,182.27,3.47,-169.3,1.28,20,0.57,142.28,3.67,202.27,3.51
1052.87,182.13,3.47,-169.28,1.28,19.97,0.57,142.19,3.67,202.1,3.51
1053.37,181.99,3.47,-169.26,1.28,19.95,0.57,142.1,3.67,201.94,3.51
1053.87,181.85,3.47,-169.24,1.28,19.92,0.57,142.01,3.67,201.78,3.51
1054.37,181.71,3.47,-169.22,1.28,19.9,0.57,141.91,3.67,201.62,3.51
1054.87,181.58,3.47,-169.21,1.28,19.88,0.57,141.82,3.66,201.45,3.51
1055.37,181.44,3.47,-169.19,1.28,19.85,0.57,141.73,3.66,201.29,3.51
1055.87,181.3,3.47,-169.17,1.28,19.83,0.57,141.64,3.66,201.13,3.51
1056.37,181.16,3.47,-169.15,1.28,19.81,0.57,141.55,3.66,200.97,3.51
1056.87,181.02,3.47,-169.14,1.28,19.78,0.57,141.46,3.66,200.8,3.51
1057.37,180.88,3.47,-169.12,1.28,19.76,0.57,141.37,3.66,200.64,3.51
1057.87,180.75,3.47,-169.1,1.28,19.74,0.57,141.27,3.66,200.48,3.51
1058.37,180.61,3.47,-169.09,1.28,19.71,0.57,141.18,3.66,200.32,3.51
1058.87,180.47,3.47,-169.07,1.28,19.69,0.57,141.09,3.66,200.16,3.51
1059.37,180.33,3.47,-169.05,1.28,19.67,0.57,141,3.66,200,3.51
1059.87,180.19,3.47,-169.04,1.28,19.64,0.57,140.91,3.66,199.84,3.51
1060.37,180.06,3.47,-169.02,1.28,19.62,0.57,140.82,3.66,199.68,3.5
1060.87,179.92,3.47,-169.01,1.28,19.6,0.56,140.73,3.66,199.52,3.5
1061.37,179.78,3.47,-168.99,1.28,19.57,0.56,140.64,3.66,199.36,3.5
1061.87,179.65,3.47,-168.98,1.27,19.55,0.56,140.55,3.66,199.2,3.5
1062.37,179.51,3.46,-168.96,1.27,19.53,0.56,140.45,3.66,199.04,3.5
1062.87,179.37,3.46,-168.95,1.27,19.5,0.56,140.36,3.66,198.88,3.5
1063.37,179.24,3.46,-168.94,1.27,19.48,0.56,140.27,3.66,198.72,3.5
1063.87,179.1,3.46,-168.92,1.27,19.46,0.56,140.18,3.66,198.56,3.5
1064.37,178.96,3.46,-168.91,1.27,19.44,0.56,140.09,3.66,198.4,3.5
1064.87,178.83,3.46,-168.9,1.27,19.41,0.56,140,3.66,198.24,3.5
1065.37,178.69,3.46,-168.88,1.27,19.39,0.56,139.91,3.66,198.08,3.5
1065.87,178.56,3.46,-168.87,1.27,19.37,0.56,139.82,3.66,197.92,3.5
1066.37,178.42,3.46,-168.86,1.27,19.35,0.56,139.73,3.65,197.77,3.5
1066.87,178.28,3.46,-168.84,1.27,19.32,0.56,139.64,3.65,197.61,3.5
1067.37,178.15,3.46,-168.83,1.27,19.3,0.56,139.55,3.65,197.45,3.5
1067.87,178.01,3.46,-168.82,1.27,19.28,0.56,139.46,3.65,197.29,3.5
1068.37,177.88,3.46,-168.81,1.27,19.26,0.56,139.37,3.65,197.14,3.5
1068.87,177.74,3.46,-168.8,1.27,19.23,0.56,139.27,3.65,196.98,3.5
1069.37,177.61,3.46,-168.79,1.27,19.21,0.56,139.18,3.65,196.82,3.5
1069.87,177.47,3.46,-168.77,1.27,19.19,0.56,139.09,3.65,196.66,3.5
1070.37,177.34,3.46,-168.76,1.27,19.17,0.56,139,3.65,196.51,3.5
1070.87,177.21,3.46,-168.75,1.27,19.15,0.56,138.91,3.65,196.35,3.5
1071.37,177.07,3.46,-168.74,1.27,19.12,0.56,138.82,3.65,196.2,3.49
1071.87,176.94,3.46,-168.73,1.27,19.1,0.56,138.73,3.65,196.04,3.49
1072.37,176.8,3.46,-168.72,1.27,19.08,0.56,138.64,3.65,195.88,3.49
1072.87,176.67,3.46,-168.71,1.26,19.06,0.56,138.55,3.65,195.73,3.49
1073.37,176.54,3.46,-168.7,1.26,19.04,0.56,138.46,3.65,195.57,3.49
1073.87,176.4,3.46,-168.69,1.26,19.02,0.56,138.37,3.65,195.42,3.49
1074.37,176.27,3.46,-168.69,1.26,18.99,0.56,138.28,3.65,195.26,3.49
1074.87,176.13,3.46,-168.68,1.26,18.97,0.56,138.19,3.65,195.11,3.49
