wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty,alpha(m=0),alpha(m=0)_uncertainty,alpha(m=1),alpha(m=1)_uncertainty
478.67,28723.32,608.46,-42138.5,913.6,15683.3,304.39,-2643.28,58.57,44406.62,911.91
478.69,23900.89,510.82,-34912.21,767.35,13280.22,255.6,-2659.54,58.77,37181.1,765.29
478.71,20413.14,440.28,-29687.91,661.77,11544.52,220.36,-2675.9,58.98,31957.66,659.33
478.73,17772.57,386.96,-25734.29,582.02,10232.46,193.74,-2692.35,59.18,28005.02,579.19
478.75,15703.29,345.24,-22637.56,519.67,9206.09,172.92,-2708.88,59.39,24909.38,516.46
478.77,14037.5,311.72,-20146,469.63,8381.51,156.2,-2725.52,59.59,22419.01,466.02
478.87,8975.75,210.52,-12588.06,319.04,5892.96,105.8,-2810.17,60.67,14868.71,313.39
478.97,6395.49,159.75,-8750.79,244.2,4646.46,80.66,-2897.43,61.81,11041.94,236.41
479.07,4819.79,129.44,-6418.78,200.09,3903.66,65.77,-2987.52,63.01,8723.45,190.07
479.17,3749.34,109.44,-4843.02,171.52,3415.01,56.07,-3080.69,64.27,7164.35,159.16
479.27,2968.35,95.36,-3699.77,151.89,3072.77,49.36,-3177.19,65.61,6041.11,137.1
479.37,2368.29,85.01,-2826.18,137.9,2822.8,44.54,-3277.31,67.03,5191.08,120.61
479.87,609.45,59.4,-289.88,107.69,2228.22,33.91,-3846.99,75.43,2837.68,76.8
480.37,-379.82,51.41,1152.23,104.76,2092.75,32.69,-4565.31,86.87,1712.93,58.28
480.87,-1168.26,50.62,2387.33,114.29,2177.1,35.82,-5522.46,103.1,1008.84,48.77
481.37,-1976.59,54.96,3829.81,135.26,2467.05,42.91,-6910.69,127.68,490.46,43.64
481.87,-3010.15,65.92,5983.25,174.45,3071.48,56.2,-9153.1,169.13,61.33,41.11
482.37,-4732.95,91.38,10168.26,257.09,4404.05,84.11,-13541.05,253.44,-328.9,40.41
482.87,-9397.16,175.92,23078.76,518.31,8683.77,171.76,-26764.7,516.19,-713.4,41.21
482.93,-10657.81,200.2,26721.02,592.24,9897.33,196.49,-30452.46,590.3,-760.49,41.4
482.99,-12329.7,232.81,31594.46,691.19,11521.76,229.56,-35373.22,689.44,-807.94,41.61
483.05,-14662.57,278.82,38448.1,830.38,13806.75,276.06,-42276.06,828.83,-855.82,41.84
483.11,-18159.92,348.45,48792.36,1040.49,17255.76,346.2,-52671.43,1039.14,-904.16,42.09
483.14,-20662.93,398.57,56226.38,1191.5,19734.41,396.59,-60131.74,1190.25,-928.53,42.23
