Li1,2p1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
407.20000,-185.12,3.44,0.00,0.00
407.22000,-185.63,3.44,0.00,0.00
407.24000,-186.13,3.43,0.00,0.00
407.26000,-186.64,3.43,0.00,0.00
407.28000,-187.15,3.43,0.00,0.00
407.30000,-187.66,3.43,0.00,0.00
407.32000,-188.17,3.43,0.00,0.00
407.34000,-188.69,3.43,0.00,0.00
407.36000,-189.21,3.42,0.00,0.00
407.38000,-189.74,3.42,0.00,0.00
407.40000,-190.26,3.42,0.00,0.00
407.42000,-190.79,3.42,0.00,0.00
407.44000,-191.32,3.42,0.00,0.00
407.46000,-191.86,3.42,0.00,0.00
407.48000,-192.40,3.41,0.00,0.00
407.50000,-192.94,3.41,0.00,0.00
407.52000,-193.48,3.41,0.00,0.00
407.54000,-194.03,3.41,0.00,0.00
407.56000,-194.58,3.41,0.00,0.00
407.58000,-195.13,3.41,0.00,0.00
407.60000,-195.69,3.40,0.00,0.00
407.62000,-196.25,3.40,0.00,0.00
407.64000,-196.81,3.40,0.00,0.00
407.66000,-197.37,3.40,0.00,0.00
407.68000,-197.94,3.40,0.00,0.00
407.70000,-198.52,3.40,0.00,0.00
407.72000,-199.09,3.39,0.00,0.00
407.74000,-199.67,3.39,0.00,0.00
407.76000,-200.25,3.39,0.00,0.00
407.78000,-200.84,3.39,0.00,0.00
407.80000,-201.43,3.39,0.00,0.00
407.82000,-202.02,3.39,0.00,0.00
407.84000,-202.62,3.38,0.00,0.00
407.86000,-203.22,3.38,0.00,0.00
407.88000,-203.83,3.38,0.00,0.00
407.90000,-204.43,3.38,0.00,0.00
407.92000,-205.04,3.38,0.00,0.00
407.94000,-205.66,3.38,0.00,0.00
407.96000,-206.28,3.37,0.00,0.00
407.98000,-206.90,3.37,0.00,0.00
408.00000,-207.53,3.37,0.00,0.00
408.02000,-208.16,3.37,0.00,0.00
408.04000,-208.80,3.37,0.00,0.00
408.06000,-209.44,3.37,0.00,0.00
408.08000,-210.08,3.36,0.00,0.00
408.10000,-210.73,3.36,0.00,0.00
408.12000,-211.38,3.36,0.00,0.00
408.14000,-212.04,3.36,0.00,0.00
408.16000,-212.70,3.36,0.00,0.00
408.18000,-213.36,3.36,0.00,0.00
408.20000,-214.03,3.36,0.00,0.00
408.22000,-214.71,3.35,0.00,0.00
408.24000,-215.38,3.35,0.00,0.00
408.26000,-216.07,3.35,0.00,0.00
408.28000,-216.75,3.35,0.00,0.00
408.30000,-217.45,3.35,0.00,0.00
408.32000,-218.14,3.35,0.00,0.00
408.34000,-218.85,3.34,0.00,0.00
408.36000,-219.55,3.34,0.00,0.00
408.38000,-220.26,3.34,0.00,0.00
408.40000,-220.98,3.34,0.00,0.00
408.42000,-221.70,3.34,0.00,0.00
408.44000,-222.43,3.34,0.00,0.00
408.46000,-223.16,3.33,0.00,0.00
408.48000,-223.90,3.33,0.00,0.00
408.50000,-224.64,3.33,0.00,0.00
408.52000,-225.39,3.33,0.00,0.00
408.54000,-226.15,3.33,0.00,0.00
408.56000,-226.90,3.33,0.00,0.00
408.58000,-227.67,3.33,0.00,0.00
408.60000,-228.44,3.32,0.00,0.00
408.62000,-229.22,3.32,0.00,0.00
408.64000,-230.00,3.32,0.00,0.00
408.66000,-230.79,3.32,0.00,0.00
408.68000,-231.58,3.32,0.00,0.00
408.70000,-232.38,3.32,0.00,0.00
408.72000,-233.19,3.31,0.00,0.00
408.74000,-234.00,3.31,0.00,0.00
408.76000,-234.82,3.31,0.00,0.00
408.78000,-235.64,3.31,0.00,0.00
408.80000,-236.47,3.31,0.00,0.00
408.82000,-237.31,3.31,0.00,0.00
408.84000,-238.16,3.31,0.00,0.00
408.86000,-239.01,3.30,0.00,0.00
408.88000,-239.87,3.30,0.00,0.00
408.90000,-240.73,3.30,0.00,0.00
408.92000,-241.60,3.30,0.00,0.00
408.94000,-242.48,3.30,0.00,0.00
408.96000,-243.37,3.30,0.00,0.00
408.98000,-244.26,3.29,0.00,0.00
409.00000,-245.16,3.29,0.00,0.00
409.02000,-246.07,3.29,0.00,0.00
409.04000,-246.99,3.29,0.00,0.00
409.06000,-247.91,3.29,0.00,0.00
409.08000,-248.84,3.29,0.00,0.00
409.10000,-249.78,3.29,0.00,0.00
409.12000,-250.73,3.28,0.00,0.00
409.14000,-251.69,3.28,0.00,0.00
409.16000,-252.65,3.28,0.00,0.00
409.18000,-253.62,3.28,0.00,0.00
409.20000,-254.60,3.28,0.00,0.00
409.22000,-255.59,3.28,0.00,0.00
409.24000,-256.59,3.27,0.00,0.00
409.26000,-257.60,3.27,0.00,0.00
409.28000,-258.62,3.27,0.00,0.00
409.30000,-259.64,3.27,0.00,0.00
409.32000,-260.68,3.27,0.00,0.00
409.34000,-261.72,3.27,0.00,0.00
409.36000,-262.77,3.27,0.00,0.00
409.38000,-263.84,3.26,0.00,0.00
409.40000,-264.91,3.26,0.00,0.00
409.42000,-265.99,3.26,0.00,0.00
409.44000,-267.09,3.26,0.00,0.00
409.46000,-268.19,3.26,0.00,0.00
409.48000,-269.31,3.26,0.00,0.00
409.50000,-270.43,3.26,0.00,0.00
409.52000,-271.57,3.25,0.00,0.00
409.54000,-272.72,3.25,0.00,0.00
409.56000,-273.87,3.25,0.00,0.00
409.58000,-275.04,3.25,0.00,0.00
409.60000,-276.22,3.25,0.00,0.00
409.62000,-277.42,3.25,0.00,0.00
409.64000,-278.62,3.25,0.00,0.00
409.66000,-279.84,3.24,0.00,0.00
409.68000,-281.07,3.24,0.00,0.00
409.70000,-282.31,3.24,0.00,0.00
409.72000,-283.56,3.24,0.00,0.00
409.74000,-284.83,3.24,0.00,0.00
409.76000,-286.11,3.24,0.00,0.00
409.78000,-287.41,3.24,0.00,0.00
409.80000,-288.71,3.23,0.00,0.00
409.82000,-290.04,3.23,0.00,0.00
409.84000,-291.37,3.23,0.00,0.00
409.86000,-292.72,3.23,0.00,0.00
409.88000,-294.08,3.23,0.00,0.00
409.90000,-295.46,3.23,0.00,0.00
409.92000,-296.86,3.23,0.00,0.00
409.94000,-298.27,3.22,0.00,0.00
409.96000,-299.69,3.22,0.00,0.00
409.98000,-301.13,3.22,0.00,0.00
410.00000,-302.59,3.22,0.00,0.00
410.02000,-304.06,3.22,0.00,0.00
410.04000,-305.55,3.22,0.00,0.00
410.06000,-307.06,3.22,0.00,0.00
410.08000,-308.59,3.21,0.00,0.00
410.10000,-310.13,3.21,0.00,0.00
410.12000,-311.69,3.21,0.00,0.00
410.14000,-313.27,3.21,0.00,0.00
410.16000,-314.87,3.21,0.00,0.00
410.18000,-316.48,3.21,0.00,0.00
410.20000,-318.12,3.21,0.00,0.00
410.22000,-319.77,3.21,0.00,0.00
410.24000,-321.45,3.20,0.00,0.00
