wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
410.06,-93.72,0.21,0,0,0,0
410.08,-93.73,0.21,0,0,0,0
410.1,-93.75,0.21,0,0,0,0
410.12,-93.76,0.21,0,0,0,0
410.14,-93.78,0.21,0,0,0,0
410.16,-93.79,0.21,0,0,0,0
410.18,-93.81,0.21,0,0,0,0
410.2,-93.82,0.21,0,0,0,0
410.22,-93.84,0.21,0,0,0,0
410.24,-93.85,0.21,0,0,0,0
410.26,-93.87,0.21,0,0,0,0
410.28,-93.88,0.21,0,0,0,0
410.3,-93.9,0.21,0,0,0,0
410.32,-93.91,0.21,0,0,0,0
410.34,-93.93,0.21,0,0,0,0
410.36,-93.94,0.21,0,0,0,0
410.38,-93.96,0.21,0,0,0,0
410.4,-93.97,0.21,0,0,0,0
410.42,-93.99,0.21,0,0,0,0
410.44,-94,0.21,0,0,0,0
410.46,-94.02,0.21,0,0,0,0
410.48,-94.04,0.21,0,0,0,0
410.5,-94.05,0.21,0,0,0,0
410.52,-94.07,0.21,0,0,0,0
410.54,-94.08,0.21,0,0,0,0
410.56,-94.1,0.21,0,0,0,0
410.58,-94.11,0.21,0,0,0,0
410.6,-94.13,0.21,0,0,0,0
410.62,-94.14,0.21,0,0,0,0
410.64,-94.16,0.21,0,0,0,0
410.66,-94.17,0.21,0,0,0,0
410.68,-94.19,0.21,0,0,0,0
410.7,-94.2,0.21,0,0,0,0
410.72,-94.22,0.21,0,0,0,0
410.74,-94.23,0.21,0,0,0,0
410.76,-94.25,0.21,0,0,0,0
410.78,-94.26,0.21,0,0,0,0
410.8,-94.28,0.21,0,0,0,0
410.82,-94.29,0.21,0,0,0,0
410.84,-94.31,0.21,0,0,0,0
410.86,-94.33,0.21,0,0,0,0
410.88,-94.34,0.21,0,0,0,0
410.9,-94.36,0.21,0,0,0,0
410.92,-94.37,0.21,0,0,0,0
410.94,-94.39,0.21,0,0,0,0
410.96,-94.4,0.21,0,0,0,0
410.98,-94.42,0.21,0,0,0,0
411,-94.43,0.21,0,0,0,0
411.02,-94.45,0.21,0,0,0,0
411.04,-94.46,0.21,0,0,0,0
411.06,-94.48,0.21,0,0,0,0
411.08,-94.49,0.21,0,0,0,0
411.1,-94.51,0.21,0,0,0,0
411.12,-94.52,0.21,0,0,0,0
411.14,-94.54,0.21,0,0,0,0
411.16,-94.56,0.21,0,0,0,0
411.18,-94.57,0.21,0,0,0,0
411.2,-94.59,0.21,0,0,0,0
411.22,-94.6,0.21,0,0,0,0
411.24,-94.62,0.21,0,0,0,0
411.26,-94.63,0.21,0,0,0,0
411.28,-94.65,0.21,0,0,0,0
411.3,-94.66,0.21,0,0,0,0
411.32,-94.68,0.21,0,0,0,0
411.34,-94.69,0.21,0,0,0,0
411.36,-94.71,0.21,0,0,0,0
411.38,-94.72,0.21,0,0,0,0
411.4,-94.74,0.21,0,0,0,0
411.42,-94.76,0.21,0,0,0,0
411.44,-94.77,0.21,0,0,0,0
411.46,-94.79,0.21,0,0,0,0
411.48,-94.8,0.21,0,0,0,0
411.5,-94.82,0.21,0,0,0,0
411.52,-94.83,0.21,0,0,0,0
411.54,-94.85,0.21,0,0,0,0
411.56,-94.86,0.21,0,0,0,0
411.58,-94.88,0.21,0,0,0,0
411.6,-94.89,0.21,0,0,0,0
411.62,-94.91,0.21,0,0,0,0
411.64,-94.92,0.21,0,0,0,0
411.66,-94.94,0.21,0,0,0,0
411.68,-94.96,0.21,0,0,0,0
411.7,-94.97,0.21,0,0,0,0
411.72,-94.99,0.21,0,0,0,0
411.74,-95,0.21,0,0,0,0
411.76,-95.02,0.21,0,0,0,0
411.78,-95.03,0.21,0,0,0,0
411.8,-95.05,0.21,0,0,0,0
411.82,-95.06,0.21,0,0,0,0
411.84,-95.08,0.21,0,0,0,0
411.86,-95.09,0.21,0,0,0,0
411.88,-95.11,0.21,0,0,0,0
411.9,-95.12,0.21,0,0,0,0
411.92,-95.14,0.21,0,0,0,0
411.94,-95.16,0.21,0,0,0,0
411.96,-95.17,0.21,0,0,0,0
411.98,-95.19,0.21,0,0,0,0
412,-95.2,0.21,0,0,0,0
412.02,-95.22,0.21,0,0,0,0
412.04,-95.23,0.21,0,0,0,0
412.06,-95.25,0.21,0,0,0,0
412.08,-95.26,0.21,0,0,0,0
412.1,-95.28,0.21,0,0,0,0
412.12,-95.29,0.21,0,0,0,0
412.14,-95.31,0.21,0,0,0,0
412.16,-95.33,0.21,0,0,0,0
412.18,-95.34,0.21,0,0,0,0
412.2,-95.36,0.21,0,0,0,0
412.22,-95.37,0.21,0,0,0,0
412.24,-95.39,0.21,0,0,0,0
412.26,-95.4,0.21,0,0,0,0
412.28,-95.42,0.21,0,0,0,0
412.3,-95.43,0.21,0,0,0,0
412.32,-95.45,0.21,0,0,0,0
412.34,-95.46,0.21,0,0,0,0
412.36,-95.48,0.21,0,0,0,0
412.38,-95.5,0.21,0,0,0,0
412.4,-95.51,0.21,0,0,0,0
412.42,-95.53,0.21,0,0,0,0
412.44,-95.54,0.21,0,0,0,0
412.46,-95.56,0.21,0,0,0,0
412.48,-95.57,0.21,0,0,0,0
412.5,-95.59,0.21,0,0,0,0
412.52,-95.6,0.21,0,0,0,0
412.54,-95.62,0.21,0,0,0,0
412.56,-95.64,0.21,0,0,0,0
412.58,-95.65,0.21,0,0,0,0
412.6,-95.67,0.21,0,0,0,0
412.62,-95.68,0.21,0,0,0,0
412.64,-95.7,0.21,0,0,0,0
412.66,-95.71,0.21,0,0,0,0
412.68,-95.73,0.21,0,0,0,0
412.7,-95.74,0.21,0,0,0,0
