wavelength,alpha_0,alpha_0_uncertainty,alpha_1,alpha_1_uncertainty,alpha_2,alpha_2_uncertainty
407.86,-203.22,3.38,0,0,0,0
407.88,-203.83,3.38,0,0,0,0
407.9,-204.43,3.38,0,0,0,0
407.92,-205.04,3.38,0,0,0,0
407.94,-205.66,3.38,0,0,0,0
407.96,-206.28,3.37,0,0,0,0
407.98,-206.9,3.37,0,0,0,0
408,-207.53,3.37,0,0,0,0
408.02,-208.16,3.37,0,0,0,0
408.04,-208.8,3.37,0,0,0,0
408.06,-209.44,3.37,0,0,0,0
408.08,-210.08,3.36,0,0,0,0
408.1,-210.73,3.36,0,0,0,0
408.12,-211.38,3.36,0,0,0,0
408.14,-212.04,3.36,0,0,0,0
408.16,-212.7,3.36,0,0,0,0
408.18,-213.36,3.36,0,0,0,0
408.2,-214.03,3.36,0,0,0,0
408.22,-214.71,3.35,0,0,0,0
408.24,-215.38,3.35,0,0,0,0
408.26,-216.07,3.35,0,0,0,0
408.28,-216.75,3.35,0,0,0,0
408.3,-217.45,3.35,0,0,0,0
408.32,-218.14,3.35,0,0,0,0
408.34,-218.85,3.34,0,0,0,0
408.36,-219.55,3.34,0,0,0,0
408.38,-220.26,3.34,0,0,0,0
408.4,-220.98,3.34,0,0,0,0
408.42,-221.7,3.34,0,0,0,0
408.44,-222.43,3.34,0,0,0,0
408.46,-223.16,3.33,0,0,0,0
408.48,-223.9,3.33,0,0,0,0
408.5,-224.64,3.33,0,0,0,0
408.52,-225.39,3.33,0,0,0,0
408.54,-226.15,3.33,0,0,0,0
408.56,-226.9,3.33,0,0,0,0
408.58,-227.67,3.33,0,0,0,0
408.6,-228.44,3.32,0,0,0,0
408.62,-229.22,3.32,0,0,0,0
408.64,-230,3.32,0,0,0,0
408.66,-230.79,3.32,0,0,0,0
408.68,-231.58,3.32,0,0,0,0
408.7,-232.38,3.32,0,0,0,0
408.72,-233.19,3.31,0,0,0,0
408.74,-234,3.31,0,0,0,0
408.76,-234.82,3.31,0,0,0,0
408.78,-235.64,3.31,0,0,0,0
408.8,-236.47,3.31,0,0,0,0
408.82,-237.31,3.31,0,0,0,0
408.84,-238.16,3.31,0,0,0,0
408.86,-239.01,3.3,0,0,0,0
408.88,-239.87,3.3,0,0,0,0
408.9,-240.73,3.3,0,0,0,0
408.92,-241.6,3.3,0,0,0,0
408.94,-242.48,3.3,0,0,0,0
408.96,-243.37,3.3,0,0,0,0
408.98,-244.26,3.29,0,0,0,0
409,-245.16,3.29,0,0,0,0
409.02,-246.07,3.29,0,0,0,0
409.04,-246.99,3.29,0,0,0,0
409.06,-247.91,3.29,0,0,0,0
409.08,-248.84,3.29,0,0,0,0
409.1,-249.78,3.29,0,0,0,0
409.12,-250.73,3.28,0,0,0,0
409.14,-251.69,3.28,0,0,0,0
409.16,-252.65,3.28,0,0,0,0
409.18,-253.62,3.28,0,0,0,0
409.2,-254.6,3.28,0,0,0,0
409.22,-255.59,3.28,0,0,0,0
409.24,-256.59,3.27,0,0,0,0
409.26,-257.6,3.27,0,0,0,0
409.28,-258.62,3.27,0,0,0,0
409.3,-259.64,3.27,0,0,0,0
409.32,-260.68,3.27,0,0,0,0
409.34,-261.72,3.27,0,0,0,0
409.36,-262.77,3.27,0,0,0,0
409.38,-263.84,3.26,0,0,0,0
409.4,-264.91,3.26,0,0,0,0
409.42,-265.99,3.26,0,0,0,0
409.44,-267.09,3.26,0,0,0,0
409.46,-268.19,3.26,0,0,0,0
409.48,-269.31,3.26,0,0,0,0
409.5,-270.43,3.26,0,0,0,0
409.52,-271.57,3.25,0,0,0,0
409.54,-272.72,3.25,0,0,0,0
409.56,-273.87,3.25,0,0,0,0
409.58,-275.04,3.25,0,0,0,0
409.6,-276.22,3.25,0,0,0,0
409.62,-277.42,3.25,0,0,0,0
409.64,-278.62,3.25,0,0,0,0
409.66,-279.84,3.24,0,0,0,0
409.68,-281.07,3.24,0,0,0,0
409.7,-282.31,3.24,0,0,0,0
409.72,-283.56,3.24,0,0,0,0
409.74,-284.83,3.24,0,0,0,0
409.76,-286.11,3.24,0,0,0,0
409.78,-287.41,3.24,0,0,0,0
409.8,-288.71,3.23,0,0,0,0
409.82,-290.04,3.23,0,0,0,0
409.84,-291.37,3.23,0,0,0,0
409.86,-292.72,3.23,0,0,0,0
409.88,-294.08,3.23,0,0,0,0
409.9,-295.46,3.23,0,0,0,0
