Li1,2s1/2,,,
Wavelength,alpha_0,     Uncertainty,alpha_2,     Uncertainty
403.86000,-89.11,0.21,0.00,0.00
403.88000,-89.13,0.21,0.00,0.00
403.90000,-89.14,0.21,0.00,0.00
403.92000,-89.16,0.21,0.00,0.00
403.94000,-89.17,0.21,0.00,0.00
403.96000,-89.19,0.21,0.00,0.00
403.98000,-89.20,0.21,0.00,0.00
404.00000,-89.22,0.21,0.00,0.00
404.02000,-89.23,0.21,0.00,0.00
404.04000,-89.24,0.21,0.00,0.00
404.06000,-89.26,0.21,0.00,0.00
404.08000,-89.27,0.21,0.00,0.00
404.10000,-89.29,0.21,0.00,0.00
404.12000,-89.30,0.21,0.00,0.00
404.14000,-89.32,0.21,0.00,0.00
404.16000,-89.33,0.21,0.00,0.00
404.18000,-89.35,0.21,0.00,0.00
404.20000,-89.36,0.21,0.00,0.00
404.22000,-89.37,0.21,0.00,0.00
404.24000,-89.39,0.21,0.00,0.00
404.26000,-89.40,0.21,0.00,0.00
404.28000,-89.42,0.21,0.00,0.00
404.30000,-89.43,0.21,0.00,0.00
404.32000,-89.45,0.21,0.00,0.00
404.34000,-89.46,0.21,0.00,0.00
404.36000,-89.48,0.21,0.00,0.00
404.38000,-89.49,0.21,0.00,0.00
404.40000,-89.51,0.21,0.00,0.00
404.42000,-89.52,0.21,0.00,0.00
404.44000,-89.53,0.21,0.00,0.00
404.46000,-89.55,0.21,0.00,0.00
404.48000,-89.56,0.21,0.00,0.00
404.50000,-89.58,0.21,0.00,0.00
404.52000,-89.59,0.21,0.00,0.00
404.54000,-89.61,0.21,0.00,0.00
404.56000,-89.62,0.21,0.00,0.00
404.58000,-89.64,0.21,0.00,0.00
404.60000,-89.65,0.21,0.00,0.00
404.62000,-89.67,0.21,0.00,0.00
404.64000,-89.68,0.21,0.00,0.00
404.66000,-89.70,0.21,0.00,0.00
404.68000,-89.71,0.21,0.00,0.00
404.70000,-89.72,0.21,0.00,0.00
404.72000,-89.74,0.21,0.00,0.00
404.74000,-89.75,0.21,0.00,0.00
404.76000,-89.77,0.21,0.00,0.00
404.78000,-89.78,0.21,0.00,0.00
404.80000,-89.80,0.21,0.00,0.00
404.82000,-89.81,0.21,0.00,0.00
404.84000,-89.83,0.21,0.00,0.00
404.86000,-89.84,0.21,0.00,0.00
404.88000,-89.86,0.21,0.00,0.00
404.90000,-89.87,0.21,0.00,0.00
404.92000,-89.88,0.21,0.00,0.00
404.94000,-89.90,0.21,0.00,0.00
404.96000,-89.91,0.21,0.00,0.00
404.98000,-89.93,0.21,0.00,0.00
405.00000,-89.94,0.21,0.00,0.00
405.02000,-89.96,0.21,0.00,0.00
405.04000,-89.97,0.21,0.00,0.00
405.06000,-89.99,0.21,0.00,0.00
405.08000,-90.00,0.21,0.00,0.00
405.10000,-90.02,0.21,0.00,0.00
405.12000,-90.03,0.21,0.00,0.00
405.14000,-90.05,0.21,0.00,0.00
405.16000,-90.06,0.21,0.00,0.00
405.18000,-90.07,0.21,0.00,0.00
405.20000,-90.09,0.21,0.00,0.00
405.22000,-90.10,0.21,0.00,0.00
405.24000,-90.12,0.21,0.00,0.00
405.26000,-90.13,0.21,0.00,0.00
405.28000,-90.15,0.21,0.00,0.00
405.30000,-90.16,0.21,0.00,0.00
405.32000,-90.18,0.21,0.00,0.00
405.34000,-90.19,0.21,0.00,0.00
405.36000,-90.21,0.21,0.00,0.00
405.38000,-90.22,0.21,0.00,0.00
405.40000,-90.24,0.21,0.00,0.00
405.42000,-90.25,0.21,0.00,0.00
405.44000,-90.27,0.21,0.00,0.00
405.46000,-90.28,0.21,0.00,0.00
405.48000,-90.29,0.21,0.00,0.00
405.50000,-90.31,0.21,0.00,0.00
405.52000,-90.32,0.21,0.00,0.00
405.54000,-90.34,0.21,0.00,0.00
405.56000,-90.35,0.21,0.00,0.00
405.58000,-90.37,0.21,0.00,0.00
405.60000,-90.38,0.21,0.00,0.00
405.62000,-90.40,0.21,0.00,0.00
405.64000,-90.41,0.21,0.00,0.00
405.66000,-90.43,0.21,0.00,0.00
405.68000,-90.44,0.21,0.00,0.00
405.70000,-90.46,0.21,0.00,0.00
405.72000,-90.47,0.21,0.00,0.00
405.74000,-90.49,0.21,0.00,0.00
405.76000,-90.50,0.21,0.00,0.00
405.78000,-90.51,0.21,0.00,0.00
405.80000,-90.53,0.21,0.00,0.00
405.82000,-90.54,0.21,0.00,0.00
405.84000,-90.56,0.21,0.00,0.00
405.86000,-90.57,0.21,0.00,0.00
405.88000,-90.59,0.21,0.00,0.00
405.90000,-90.60,0.21,0.00,0.00
405.92000,-90.62,0.21,0.00,0.00
405.94000,-90.63,0.21,0.00,0.00
405.96000,-90.65,0.21,0.00,0.00
405.98000,-90.66,0.21,0.00,0.00
406.00000,-90.68,0.21,0.00,0.00
406.02000,-90.69,0.21,0.00,0.00
406.04000,-90.71,0.21,0.00,0.00
406.06000,-90.72,0.21,0.00,0.00
406.08000,-90.74,0.21,0.00,0.00
406.10000,-90.75,0.21,0.00,0.00
406.12000,-90.77,0.21,0.00,0.00
406.14000,-90.78,0.21,0.00,0.00
